min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.86,2.00,15.0,2.30,2.60,1.50,1.58,2.15,1.50,1.68,2.00,1,1,1,3.60,0,0
2,1.86,2.00,15.0,2.30,2.60,1.50,1.58,2.15,1.50,1.68,2.00,1,1,1,3.60,0,0
3,1.86,2.00,15.0,2.30,2.60,1.50,1.58,2.15,1.50,1.68,2.00,1,1,1,3.60,0,0
4,1.87,2.00,14.0,2.30,2.60,1.50,1.58,2.15,1.50,1.68,2.00,1,1,1,3.55,0,0
5,1.91,1.99,13.0,2.40,2.55,1.50,1.58,2.15,1.50,1.63,2.05,1,1,1,3.50,0,0
6,1.92,1.99,13.0,2.40,2.60,1.50,1.57,2.20,1.50,1.61,2.10,1,1,1,3.45,0,0
7,1.92,1.99,13.0,2.40,2.60,1.50,1.56,2.20,1.50,1.60,2.10,1,1,1,3.45,0,0
8,1.92,2.00,12.0,2.45,2.60,1.50,1.54,2.25,1.50,1.58,2.15,1,1,1,3.40,0,0
9,1.93,2.00,12.0,2.45,2.60,1.50,1.53,2.30,1.50,1.57,2.20,1,1,1,3.40,0,0
10,1.93,2.00,12.0,2.45,2.60,1.50,1.52,2.30,1.50,1.56,2.20,1,1,1,3.40,0,0
11,1.94,2.00,12.0,2.45,2.60,1.50,1.51,2.35,1.50,1.54,2.25,1,1,1,3.35,0,0
12,1.94,2.00,11.5,2.45,2.60,1.50,1.50,2.40,1.50,1.53,2.30,1,1,1,3.35,0,0
13,1.95,2.00,11.0,2.45,2.60,1.50,1.48,2.45,1.50,1.52,2.30,1,1,1,3.30,0,0
14,1.95,2.00,11.0,2.45,2.65,1.50,1.47,2.50,1.50,1.50,2.35,1,1,1,3.30,0,0
15,1.96,2.00,10.5,2.50,2.65,1.50,1.46,2.50,1.50,1.49,2.40,1,1,1,3.30,0,0
16,1.97,2.00,10.5,2.50,2.65,1.50,1.45,2.55,1.50,1.48,2.45,1,1,1,3.25,0,0
17,1.93,2.05,10.5,2.45,2.70,1.50,1.44,2.60,1.50,1.50,2.40,1,1,1,3.30,0,0
18,1.93,2.05,10.0,2.45,2.75,1.50,1.43,2.60,1.50,1.49,2.40,1,1,1,3.25,0,0
19,1.94,2.05,10.0,2.45,2.75,1.50,1.42,2.65,1.50,1.48,2.45,1,1,1,3.25,0,0
20,1.95,2.10,9.50,2.45,2.75,1.50,1.41,2.70,1.50,1.46,2.50,1,1,1,3.20,0,0
21,1.95,2.10,9.50,2.45,2.75,1.50,1.40,2.75,1.50,1.45,2.55,1,1,1,3.20,0,0
22,1.96,2.10,9.00,2.45,2.75,1.50,1.39,2.80,1.50,1.44,2.60,1,1,1,3.15,0,0
23,1.97,2.10,9.00,2.50,2.75,1.50,1.37,2.85,1.50,1.43,2.65,1,1,1,3.15,0,0
24,1.97,2.10,8.50,2.50,2.75,1.50,1.37,2.90,1.50,1.42,2.70,1,1,1,3.10,0,0
25,1.98,2.10,8.50,2.50,2.80,0.50,2.85,1.37,1.50,1.40,2.70,1,1,1,3.10,0,0
26,1.99,2.10,8.00,2.50,2.80,0.50,2.85,1.38,1.50,1.39,2.75,1,1,1,3.10,0,0
27,1.83,2.20,9.50,2.25,3.00,0.50,2.90,1.37,1.50,1.51,2.35,1,1,1,3.25,0,0
28,1.84,2.20,9.50,2.25,3.05,0.50,2.85,1.38,1.50,1.50,2.40,1,1,1,3.20,0,0
29,1.85,2.25,9.00,2.25,3.05,0.50,2.80,1.39,1.50,1.49,2.40,1,1,1,3.20,0,0
30,1.86,2.25,9.00,2.30,3.05,0.50,2.75,1.40,1.50,1.47,2.50,1,1,1,3.15,0,0
31,1.86,2.25,8.50,2.30,3.05,0.50,2.70,1.41,1.50,1.46,2.50,1,1,1,3.15,0,0
32,1.87,2.25,8.00,2.30,3.05,0.50,2.65,1.42,1.50,1.44,2.60,1,1,1,3.10,0,0
33,1.88,2.30,8.00,2.30,3.05,0.50,2.60,1.43,1.50,1.43,2.60,1,1,1,3.10,0,0
34,1.89,2.30,7.50,2.30,3.10,0.50,2.55,1.45,1.50,1.42,2.70,1,1,1,3.05,0,0
35,1.90,2.30,7.50,2.30,3.10,0.50,2.50,1.46,1.50,1.40,2.70,1,1,1,3.00,0,0
36,1.91,2.30,7.00,2.30,3.10,0.50,2.50,1.47,1.50,1.39,2.80,1,1,1,3.00,0,0
37,1.92,2.30,7.00,2.35,3.10,0.50,2.40,1.49,1.50,1.38,2.85,1.50,2.45,1.48,3.00,0,0
38,1.93,2.35,6.50,2.35,3.10,0.50,2.40,1.50,0.50,2.90,1.36,1.50,2.40,1.50,2.95,0,0
39,1.94,2.35,6.50,2.40,3.15,0.50,2.35,1.51,0.50,2.85,1.37,1.50,2.30,1.52,2.90,0,0
40,1.95,2.35,6.00,2.40,3.15,0.50,2.30,1.53,0.50,2.80,1.39,1.50,2.25,1.54,2.90,0,0
41,1.96,2.40,6.00,2.40,3.15,0.50,2.25,1.54,0.50,2.75,1.40,1.50,2.20,1.56,2.85,0,0
42,1.98,2.40,5.50,2.40,3.15,0.50,2.20,1.56,0.50,2.70,1.41,1.50,2.15,1.59,2.85,0,0
43,1.99,2.40,5.50,2.45,3.20,0.50,2.20,1.57,0.50,2.65,1.43,1.50,2.10,1.62,2.80,0,0
44,2.00,2.40,5.00,1.33,9.50,0.50,2.15,1.59,1.50,2.60,1.44,1,1,1,4.20,0,1
45,2.00,2.40,5.00,2.45,3.15,1.50,2.20,1.58,1.50,2.60,1.44,3.50,2.10,1.62,2.80,1,1
46,2.00,2.40,5.00,2.45,3.20,1.50,2.15,1.59,1.50,2.55,1.45,3.50,2.00,1.65,2.75,1,1
47,2.00,2.40,5.00,2.50,3.20,1.50,2.10,1.61,1.50,2.50,1.46,3.50,1.99,1.68,2.70,1,1
48,2.00,2.40,5.00,2.50,3.20,1.50,2.05,1.63,1.50,2.45,1.48,3.50,1.93,1.72,2.70,1,1
49,2.00,2.40,5.00,2.50,3.20,1.50,2.00,1.65,1.50,2.40,1.50,3.50,1.89,1.76,2.65,1,1
50,2.00,2.40,5.00,2.55,3.25,1.50,2.00,1.68,1.50,2.30,1.52,3.50,1.83,1.81,2.60,1,1
51,2.00,2.40,5.00,2.55,3.25,1.50,1.96,1.71,1.50,2.30,1.53,3.50,1.79,1.85,2.60,1,1
52,2.00,2.40,5.00,2.60,3.30,1.50,1.92,1.73,1.50,2.25,1.55,3.50,1.75,1.90,2.55,1,1
53,2.00,2.40,5.00,2.70,3.15,1.50,1.99,1.69,1.50,2.20,1.57,3.50,1.76,1.89,2.55,1,1
54,2.00,2.40,5.00,2.70,3.15,1.50,1.95,1.71,1.50,2.15,1.59,3.50,1.72,1.94,2.50,1,1
55,2.00,2.40,5.00,2.70,3.20,1.50,1.91,1.74,1.50,2.10,1.62,3.50,1.68,2.00,2.50,1,1
56,2.00,2.40,5.00,2.75,3.20,1.50,1.87,1.78,1.50,2.05,1.64,3.50,1.64,2.05,2.45,1,1
57,2.00,2.40,5.00,2.80,3.20,1.50,1.84,1.81,1.50,2.00,1.67,3.50,1.61,2.10,2.40,1,1
58,2.00,2.40,5.00,2.80,3.25,1.50,1.80,1.84,1.50,1.97,1.70,3.50,1.57,2.20,2.35,1,1
59,2.00,2.40,5.00,2.85,3.30,1.50,1.76,1.88,1.50,1.93,1.73,3.50,1.54,2.25,2.30,1,1
