min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.86,2.10,10.5,2.30,2.90,1.50,1.43,2.60,1.50,1.56,2.20,1,1,1,3.25,0,0
2,1.86,2.10,10.5,2.30,2.90,1.50,1.43,2.60,1.50,1.56,2.20,1,1,1,3.25,0,0
3,1.86,2.10,10.5,2.30,2.90,1.50,1.43,2.60,1.50,1.56,2.20,1,1,1,3.25,0,0
4,1.86,2.10,10.5,2.30,2.90,1.50,1.43,2.60,1.50,1.56,2.20,1,1,1,3.25,0,0
5,1.86,2.10,10.5,2.30,2.90,1.50,1.43,2.60,1.50,1.56,2.20,1,1,1,3.25,0,0
6,1.81,2.25,10.0,2.20,3.10,1.50,1.38,2.85,1.50,1.56,2.20,1,1,1,3.20,0,0
7,1.82,2.25,10.0,2.20,3.10,1.50,1.37,2.85,1.50,1.55,2.25,1,1,1,3.20,0,0
8,1.82,2.25,9.50,2.20,3.10,0.50,2.90,1.36,1.50,1.54,2.30,1,1,1,3.20,0,0
9,1.83,2.25,9.50,2.20,3.10,0.50,2.85,1.37,1.50,1.53,2.30,1,1,1,3.15,0,0
10,1.83,2.25,9.00,2.25,3.10,0.50,2.85,1.38,1.50,1.51,2.35,1,1,1,3.15,0,0
11,1.84,2.25,9.00,2.25,3.10,0.50,2.80,1.39,1.50,1.50,2.40,1,1,1,3.15,0,0
12,1.84,2.30,8.50,2.25,3.10,0.50,2.75,1.40,1.50,1.49,2.40,1,1,1,3.10,0,0
13,1.85,2.30,8.50,1.37,7.50,0.50,2.90,1.37,2.50,1.52,2.30,3.50,1.66,2.00,4.25,0,1
14,1.85,2.30,8.50,1.37,7.50,0.50,2.85,1.37,2.50,1.50,2.35,3.50,1.64,2.05,4.25,0,1
15,1.85,2.30,8.50,1.38,8.00,0.50,2.80,1.38,2.50,1.49,2.40,3.50,1.62,2.10,4.25,0,1
16,1.85,2.30,8.50,1.38,8.00,0.50,2.80,1.39,2.50,1.48,2.45,3.50,1.60,2.10,4.20,0,1
17,1.85,2.30,8.50,1.38,8.00,0.50,2.75,1.40,2.50,1.47,2.50,3.50,1.58,2.20,4.20,0,1
18,1.85,2.30,8.50,1.37,8.00,0.50,2.70,1.41,2.50,1.46,2.50,3.50,1.56,2.20,4.20,0,1
19,1.85,2.30,8.50,1.37,8.00,0.50,2.65,1.42,2.50,1.45,2.55,3.50,1.54,2.30,4.20,0,1
20,1.85,2.30,8.50,1.37,8.00,0.50,2.65,1.43,2.50,1.44,2.60,3.50,1.52,2.30,4.20,0,1
21,1.85,2.30,8.50,1.37,8.50,0.50,2.60,1.44,2.50,1.42,2.65,3.50,1.50,2.40,4.20,0,1
22,1.85,2.30,8.50,1.37,8.50,0.50,2.45,1.48,1.50,2.90,1.37,1,1,1,4.10,0,1
23,1.85,2.30,8.50,1.37,8.50,0.50,2.40,1.49,1.50,2.85,1.37,1,1,1,4.10,0,1
24,1.85,2.30,8.50,1.37,9.00,0.50,2.40,1.50,1.50,2.80,1.38,1,1,1,4.10,0,1
25,1.85,2.30,8.50,1.37,9.00,0.50,2.35,1.51,1.50,2.75,1.39,1,1,1,4.10,0,1
26,1.85,2.30,8.50,1.36,9.00,0.50,2.30,1.52,1.50,2.70,1.40,1,1,1,4.05,0,1
27,1.85,2.30,8.50,1.36,9.00,0.50,2.30,1.53,1.50,2.70,1.42,1,1,1,4.05,0,1
28,1.85,2.30,8.50,1.36,9.00,0.50,2.25,1.55,1.50,2.65,1.43,1,1,1,4.05,0,1
29,1.85,2.30,8.50,1.36,9.50,0.50,2.20,1.56,1.50,2.60,1.44,1,1,1,4.00,0,1
30,1.85,2.30,8.50,1.35,9.50,0.50,2.20,1.57,1.50,2.55,1.45,1,1,1,4.00,0,1
31,1.85,2.30,8.50,1.35,9.50,0.50,2.15,1.59,1.50,2.50,1.46,1,1,1,4.00,0,1
32,1.85,2.30,8.50,1.35,10.0,0.50,2.10,1.60,1.50,2.45,1.47,1,1,1,4.00,0,1
33,1.85,2.30,8.50,1.35,10.0,0.50,2.10,1.62,1.50,2.40,1.49,1,1,1,4.00,0,1
34,1.85,2.30,8.50,1.34,10.0,0.50,2.05,1.63,1.50,2.40,1.50,1,1,1,4.00,0,1
35,1.85,2.30,8.50,1.35,10.5,0.50,2.05,1.65,1.50,2.35,1.51,1,1,1,4.00,0,1
36,1.85,2.30,8.50,1.34,10.5,0.50,2.00,1.67,1.50,2.30,1.53,1,1,1,4.00,0,1
37,1.85,2.30,8.50,1.34,11.0,0.50,1.99,1.68,1.50,2.25,1.54,1,1,1,4.00,0,1
38,1.85,2.30,8.50,1.33,11.0,0.50,1.96,1.71,1.50,2.25,1.55,1,1,1,4.00,0,1
39,1.85,2.30,8.50,1.33,11.0,0.50,1.93,1.73,1.50,2.20,1.57,1,1,1,4.00,0,1
40,1.85,2.30,8.50,1.33,11.0,0.50,1.90,1.75,1.50,2.15,1.58,1,1,1,4.00,0,1
41,1.85,2.30,8.50,1.32,11.5,0.50,1.87,1.77,1.50,2.10,1.60,1,1,1,4.00,0,1
42,1.85,2.30,8.50,1.32,11.5,0.50,1.85,1.79,1.50,2.10,1.62,1,1,1,4.00,0,1
43,1.85,2.30,8.50,1.32,12.0,0.50,1.82,1.82,1.50,2.05,1.63,1,1,1,4.00,0,1
44,1.85,2.30,8.50,1.31,12.0,0.50,1.80,1.84,1.50,2.00,1.65,1,1,1,4.00,0,1
45,1.85,2.30,8.50,1.31,12.0,0.50,1.77,1.87,1.50,2.00,1.68,1,1,1,4.00,0,1
46,1.85,2.30,8.50,1.35,11.0,0.50,1.85,1.79,1.50,1.97,1.70,1,1,1,3.85,0,1
47,1.85,2.30,8.50,1.34,11.0,0.50,1.82,1.82,1.50,1.93,1.72,1,1,1,3.85,0,1
48,1.85,2.30,8.50,1.34,11.5,0.50,1.79,1.85,1.50,1.90,1.75,1,1,1,3.85,0,1
49,1.85,2.30,8.50,1.37,10.5,0.50,1.87,1.78,1.50,1.87,1.78,1,1,1,3.70,0,1
