min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
11,1.95,1.95,13.0,2.50,2.50,1.50,1.62,2.10,1.50,1.62,2.10,1,1,1,3.40,0,0
12,1.77,2.00,15.0,2.15,2.70,1.50,1.50,2.20,1.50,1.67,1.92,1,1,1,3.60,0,0
13,1.77,2.00,14.0,2.15,2.70,1.50,1.49,2.25,1.50,1.65,1.95,1,1,1,3.60,0,0
14,1.78,2.00,14.0,2.15,2.70,1.50,1.48,2.30,1.50,1.63,1.98,1,1,1,3.55,0,0
15,1.78,2.00,13.0,2.15,2.70,1.50,1.47,2.30,1.50,1.61,2.00,1,1,1,3.55,0,0
16,1.78,2.00,13.0,2.15,2.70,1.50,1.46,2.35,1.50,1.60,2.00,1,1,1,3.50,0,0
17,1.79,2.00,13.0,2.15,2.70,1.50,1.44,2.40,1.50,1.58,2.05,1,1,1,3.50,0,0
18,1.79,2.05,12.0,2.20,2.70,1.50,1.43,2.45,1.50,1.56,2.10,1,1,1,3.45,0,0
19,1.80,2.05,12.0,2.20,2.70,1.50,1.42,2.50,1.50,1.55,2.10,1,1,1,3.45,0,0
20,1.80,2.05,12.0,2.20,2.70,1.50,1.41,2.50,1.50,1.53,2.15,1,1,1,3.40,0,0
21,1.81,2.05,11.5,2.20,2.70,1.50,1.40,2.55,1.50,1.52,2.20,1,1,1,3.40,0,0
22,1.81,2.05,11.0,2.20,2.75,1.50,1.39,2.60,1.50,1.50,2.20,1,1,1,3.40,0,0
23,1.82,2.05,11.0,2.20,2.75,1.50,1.38,2.65,1.50,1.49,2.25,1,1,1,3.35,0,0
24,1.82,2.05,10.5,2.25,2.75,1.50,1.37,2.70,1.50,1.47,2.30,1,1,1,3.30,0,0
25,1.83,2.10,10.0,2.25,2.75,1.50,1.36,2.75,1.50,1.46,2.35,1,1,1,3.30,0,0
26,1.84,2.10,10.0,2.25,2.75,1.50,1.34,2.80,1.50,1.45,2.40,1,1,1,3.30,0,0
27,1.84,2.10,9.50,2.25,2.75,0.50,2.85,1.33,1.50,1.43,2.45,1,1,1,3.25,0,0
28,1.85,2.10,9.00,2.30,2.80,0.50,2.80,1.34,1.50,1.42,2.50,1,1,1,3.25,0,0
29,1.86,2.10,9.00,2.30,2.80,0.50,2.75,1.35,1.50,1.41,2.55,1,1,1,3.20,0,0
30,1.86,2.10,8.50,2.30,2.80,0.50,2.70,1.36,1.50,1.40,2.60,1,1,1,3.20,0,0
31,1.87,2.10,8.50,2.30,2.80,0.50,2.65,1.37,1.50,1.38,2.60,1,1,1,3.15,0,0
32,1.88,2.15,8.00,2.30,2.80,0.50,2.60,1.39,1.50,1.37,2.70,1,1,1,3.10,0,0
33,1.89,2.15,8.00,2.30,2.80,0.50,2.60,1.40,1.50,1.36,2.70,1,1,1,3.10,0,0
34,1.90,2.15,7.50,2.35,2.85,0.50,2.50,1.41,1.50,1.35,2.80,1,1,1,3.10,0,0
35,1.91,2.15,7.00,2.35,2.85,0.50,2.50,1.42,0.50,2.85,1.33,1,1,1,3.05,0,0
36,1.92,2.20,7.00,2.35,2.85,0.50,2.45,1.44,0.50,2.80,1.34,1.50,2.40,1.44,3.00,0,0
37,1.93,2.20,7.00,2.40,2.85,0.50,2.40,1.45,0.50,2.75,1.35,1.50,2.35,1.46,3.00,0,0
38,1.94,2.20,6.50,2.40,2.85,0.50,2.35,1.46,0.50,2.70,1.37,1.50,2.30,1.48,2.95,0,0
39,1.95,2.20,6.00,2.40,2.90,0.50,2.30,1.47,0.50,2.65,1.38,1.50,2.20,1.50,2.95,0,0
40,1.97,2.20,6.00,2.40,2.90,0.50,2.25,1.49,0.50,2.60,1.39,1.50,2.20,1.52,2.90,0,0
41,1.98,2.25,6.00,2.40,2.90,0.50,2.20,1.50,0.50,2.55,1.41,1.50,2.10,1.55,2.90,0,0
42,1.99,2.25,5.50,2.40,2.90,0.50,2.20,1.52,0.50,2.50,1.42,1.50,2.05,1.58,2.85,0,0
43,2.00,2.30,5.50,2.45,2.90,0.50,2.15,1.53,0.50,2.45,1.43,1.50,2.00,1.60,2.80,0,0
44,2.00,2.30,5.00,2.45,2.90,0.50,2.10,1.55,0.50,2.40,1.45,1.50,1.98,1.63,2.80,0,0
45,2.00,2.30,5.00,2.45,2.95,0.50,2.10,1.57,0.50,2.35,1.46,1.50,1.93,1.66,2.75,0,0
46,2.00,2.30,5.00,2.50,2.95,0.50,2.05,1.58,0.50,2.30,1.48,1.50,1.88,1.69,2.70,0,0
47,2.05,2.35,4.85,2.50,3.00,0.50,2.00,1.60,0.50,2.25,1.50,1.50,1.84,1.73,2.70,0,0
48,2.05,2.35,4.70,2.50,3.00,0.50,1.99,1.63,0.50,2.20,1.51,1.50,1.79,1.77,2.65,0,0
49,2.10,2.40,4.50,2.55,3.00,0.50,1.95,1.65,0.50,2.15,1.53,1.50,1.75,1.81,2.60,0,0
