min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.21,4.30,15.0,1.18,11.0,0.50,1.70,1.88,2.50,1.58,2.05,1,1,1,5.00,0,0
2,1.21,4.30,15.0,1.18,11.0,0.50,1.70,1.88,2.50,1.58,2.05,1,1,1,5.00,0,0
3,1.21,4.30,15.0,1.18,11.0,0.50,1.70,1.88,2.50,1.58,2.05,1,1,1,5.00,0,0
4,1.21,4.30,15.0,1.18,11.0,0.50,1.70,1.88,2.50,1.58,2.05,1,1,1,5.00,0,0
5,1.21,4.30,15.0,1.18,11.0,0.50,1.70,1.88,2.50,1.58,2.05,1,1,1,5.00,0,0
6,1.21,4.30,14.0,1.18,11.0,0.50,1.69,1.89,2.50,1.56,2.10,1,1,1,5.00,0,0
7,1.21,4.35,14.0,1.19,11.0,0.50,1.68,1.91,2.50,1.54,2.10,1,1,1,5.00,0,0
8,1.22,4.35,14.0,1.20,10.5,0.50,1.66,1.92,2.50,1.53,2.15,1,1,1,5.00,0,0
9,1.22,4.35,13.0,1.20,10.5,0.50,1.65,1.94,2.50,1.51,2.20,1,1,1,5.00,0,0
10,1.22,4.35,13.0,1.21,10.5,0.50,1.64,1.96,2.50,1.49,2.25,1,1,1,5.00,0,0
11,1.23,4.35,13.0,1.22,10.5,0.50,1.63,1.98,2.50,1.48,2.30,1,1,1,4.90,0,0
12,1.23,4.40,12.0,1.22,10.5,0.50,1.62,2.00,2.50,1.46,2.35,1,1,1,4.85,0,0
13,1.23,4.40,12.0,1.22,10.5,0.50,1.61,2.00,2.50,1.45,2.40,1,1,1,4.80,0,0
14,1.23,4.40,12.0,1.23,10.0,0.50,1.60,2.00,2.50,1.44,2.45,1,1,1,4.75,0,0
15,1.24,4.40,11.5,1.23,10.0,0.50,1.58,2.05,1.50,2.50,1.42,1,1,1,4.70,0,0
16,1.24,4.40,11.5,1.24,10.0,0.50,1.57,2.05,1.50,2.40,1.44,1,1,1,4.60,0,0
17,1.24,4.40,11.0,1.24,10.0,0.50,1.56,2.10,1.50,2.40,1.45,1,1,1,4.55,0,0
18,1.25,4.45,10.5,1.25,10.0,0.50,1.55,2.10,1.50,2.35,1.47,1,1,1,4.50,0,0
19,1.25,4.45,10.5,1.26,10.0,0.50,1.54,2.10,1.50,2.30,1.48,1,1,1,4.45,0,0
20,1.26,4.45,10.0,1.26,10.0,0.50,1.53,2.15,1.50,2.25,1.50,1,1,1,4.40,0,0
21,1.26,4.50,10.0,1.27,10.0,0.50,1.52,2.20,1.50,2.20,1.51,1,1,1,4.30,0,0
22,1.26,4.50,9.50,1.28,10.0,0.50,1.51,2.20,1.50,2.15,1.53,1,1,1,4.25,0,0
23,1.27,4.50,9.00,1.29,10.0,0.50,1.50,2.20,1.50,2.10,1.55,1,1,1,4.20,0,0
24,1.27,4.50,9.00,1.29,9.50,0.50,1.49,2.25,1.50,2.05,1.57,1,1,1,4.15,0,0
25,1.28,4.55,8.50,1.30,9.50,0.50,1.49,2.30,1.50,2.05,1.59,1,1,1,4.10,0,0
26,1.28,4.55,8.50,1.30,9.50,0.50,1.48,2.30,1.50,2.00,1.61,1,1,1,4.05,0,0
27,1.29,4.55,8.00,1.31,9.50,0.50,1.47,2.30,1.50,1.98,1.63,1,1,1,4.00,0,0
28,1.29,4.60,8.00,1.32,9.50,0.50,1.46,2.35,1.50,1.94,1.66,1,1,1,3.90,0,0
29,1.30,4.60,7.50,1.32,9.50,0.50,1.45,2.40,1.50,1.91,1.68,1,1,1,3.90,0,0
30,1.30,4.60,7.50,1.33,9.50,0.50,1.44,2.40,1.50,1.87,1.71,1,1,1,3.80,0,0
31,1.31,4.65,7.00,1.34,9.50,0.50,1.43,2.45,1.50,1.83,1.73,1,1,1,3.80,0,0
32,1.31,4.65,7.00,1.34,9.50,0.50,1.42,2.50,1.50,1.80,1.76,1.50,2.40,1.44,3.70,0,0
