min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
2,1.82,2.10,13.0,2.25,2.85,1.50,1.56,2.20,1.50,1.75,1.90,1,1,1,3.40,0,0
3,1.82,2.10,13.0,2.25,2.85,1.50,1.56,2.20,1.50,1.75,1.90,1,1,1,3.40,0,0
6,1.82,2.10,13.0,2.25,2.85,1.50,1.55,2.25,1.50,1.73,1.93,1,1,1,3.40,0,0
7,1.82,2.10,13.0,2.25,2.85,1.50,1.53,2.30,1.50,1.71,1.95,1,1,1,3.40,0,0
8,1.83,2.10,12.0,2.25,2.85,1.50,1.52,2.30,1.50,1.69,1.98,1,1,1,3.35,0,0
9,1.83,2.10,12.0,2.25,2.85,1.50,1.51,2.35,1.50,1.68,2.00,1,1,1,3.35,0,0
10,1.84,2.10,12.0,2.25,2.90,1.50,1.50,2.40,1.50,1.66,2.00,1,1,1,3.35,0,0
11,1.84,2.10,12.0,2.25,2.90,1.50,1.49,2.40,1.50,1.64,2.05,1,1,1,3.30,0,0
12,1.85,2.10,11.5,2.30,2.90,1.50,1.47,2.45,1.50,1.62,2.10,1,1,1,3.30,0,0
13,1.85,2.10,11.0,2.30,2.90,1.50,1.46,2.50,1.50,1.61,2.10,1,1,1,3.30,0,0
14,1.85,2.10,11.0,2.30,2.90,1.50,1.45,2.55,1.50,1.59,2.15,1,1,1,3.25,0,0
15,1.86,2.10,10.5,2.30,2.90,1.50,1.44,2.60,1.50,1.58,2.20,1,1,1,3.25,0,0
16,1.86,2.15,10.5,2.30,2.90,1.50,1.43,2.60,1.50,1.56,2.20,1,1,1,3.20,0,0
17,1.87,2.15,10.0,2.30,2.90,1.50,1.42,2.65,1.50,1.55,2.25,1,1,1,3.20,0,0
18,1.87,2.15,10.0,2.30,2.90,1.50,1.41,2.70,1.50,1.53,2.30,1,1,1,3.20,0,0
19,1.88,2.15,9.50,2.35,2.90,1.50,1.40,2.75,1.50,1.52,2.30,1,1,1,3.15,0,0
20,1.89,2.15,9.50,2.35,2.95,1.50,1.39,2.80,1.50,1.51,2.35,1,1,1,3.15,0,0
21,1.89,2.15,9.00,2.35,2.95,1.50,1.38,2.80,1.50,1.49,2.40,1,1,1,3.10,0,0
22,1.90,2.20,9.00,2.40,2.95,1.50,1.37,2.85,1.50,1.48,2.45,1,1,1,3.10,0,0
23,1.91,2.20,8.50,2.40,2.95,0.50,2.90,1.37,1.50,1.47,2.50,1,1,1,3.10,0,0
24,1.91,2.20,8.50,2.40,2.95,0.50,2.85,1.37,1.50,1.45,2.55,1,1,1,3.05,0,0
25,1.92,2.20,8.00,2.40,2.95,0.50,2.80,1.38,1.50,1.44,2.60,1,1,1,3.05,0,0
26,1.93,2.20,8.00,2.40,3.00,0.50,2.75,1.39,1.50,1.43,2.60,1,1,1,3.00,0,0
27,1.93,2.20,7.50,2.45,3.00,0.50,2.70,1.40,1.50,1.42,2.65,1,1,1,3.00,0,0
28,1.94,2.20,7.50,2.45,3.00,0.50,2.70,1.42,1.50,1.40,2.70,1,1,1,3.00,0,0
29,1.95,2.25,7.00,2.45,3.00,0.50,2.65,1.43,1.50,1.39,2.75,1,1,1,2.95,0,0
30,1.96,2.25,7.00,2.45,3.00,0.50,2.60,1.44,1.50,1.38,2.80,1,1,1,2.95,0,0
31,1.97,2.25,7.00,2.45,3.00,0.50,2.55,1.45,1.50,1.37,2.85,1.50,2.45,1.47,2.90,0,0
32,1.98,2.25,6.50,2.45,3.05,0.50,2.50,1.46,0.50,2.90,1.37,1.50,2.40,1.49,2.90,0,0
33,1.99,2.30,6.50,2.50,3.05,0.50,2.45,1.47,0.50,2.85,1.38,1.50,2.35,1.51,2.85,0,0
34,2.00,2.30,6.00,2.50,3.05,0.50,2.40,1.49,0.50,2.80,1.39,1.50,2.30,1.52,2.85,0,0
35,2.00,2.30,6.00,2.50,3.10,0.50,2.40,1.50,0.50,2.75,1.40,1.50,2.25,1.55,2.80,0,0
36,2.00,2.30,6.00,2.50,3.10,0.50,2.35,1.51,0.50,2.70,1.41,1.50,2.20,1.57,2.80,0,0
37,2.00,2.35,5.50,2.55,3.10,0.50,2.30,1.53,0.50,2.65,1.43,1.50,2.15,1.59,2.75,0,0
38,2.00,2.35,5.50,2.55,3.10,0.50,2.25,1.54,0.50,2.60,1.44,1.50,2.10,1.62,2.70,0,0
39,2.05,2.35,5.00,2.55,3.10,0.50,2.20,1.56,0.50,2.55,1.45,1.50,2.05,1.65,2.70,0,0
40,2.05,2.40,5.00,2.60,3.10,0.50,2.20,1.57,0.50,2.50,1.46,1.50,2.00,1.68,2.70,0,0
41,2.10,2.40,5.00,2.60,3.10,0.50,2.15,1.59,0.50,2.45,1.48,1.50,1.96,1.71,2.65,0,0
42,1.76,2.70,6.00,2.00,3.70,0.50,2.00,1.68,1.50,1.39,2.80,1.50,2.20,1.56,3.05,0,0
43,1.77,2.70,6.00,2.00,3.70,0.50,1.97,1.70,1.50,1.37,2.85,1.50,2.15,1.59,3.00,0,0
44,1.78,2.75,5.50,2.05,3.70,0.50,1.94,1.72,0.50,2.90,1.37,1.50,2.10,1.61,3.00,0,0
45,1.79,2.75,5.50,2.05,3.75,0.50,1.91,1.74,0.50,2.85,1.38,1.50,2.05,1.64,2.95,0,0
46,1.80,2.80,5.00,2.10,3.75,0.50,1.88,1.77,0.50,2.80,1.39,1.50,2.00,1.67,2.90,0,0
47,1.82,2.80,5.00,2.10,3.75,0.50,1.85,1.79,0.50,2.70,1.41,1.50,1.96,1.71,2.85,0,0
48,1.83,2.80,5.00,2.10,3.80,0.50,1.82,1.82,0.50,2.65,1.42,1.50,1.90,1.75,2.80,0,0
49,1.85,2.85,4.85,2.15,3.80,0.50,1.79,1.86,0.50,2.60,1.44,1.50,1.85,1.79,2.80,0,0
50,1.87,2.85,4.70,2.15,3.80,0.50,1.76,1.89,0.50,2.50,1.45,1.50,1.81,1.83,2.75,0,0
51,1.89,2.90,4.50,2.15,3.80,0.50,1.73,1.92,0.50,2.45,1.47,1.50,1.76,1.89,2.70,0,0
52,1.89,2.90,4.50,5.50,1.57,1.50,1.71,1.96,0.50,2.40,1.49,1,1,1,3.50,1,0
53,1.89,2.90,4.50,5.50,1.56,1.50,1.68,1.99,0.50,2.35,1.51,1,1,1,3.45,1,0
54,1.89,2.90,4.50,5.50,1.55,1.50,1.66,2.00,0.50,2.30,1.53,1,1,1,3.45,1,0
55,1.89,2.90,4.50,6.00,1.54,1.50,1.64,2.05,0.50,2.25,1.55,1,1,1,3.45,1,0
56,1.89,2.90,4.50,6.00,1.53,1.50,1.62,2.10,0.50,2.20,1.57,1,1,1,3.45,1,0
57,1.89,2.90,4.50,6.00,1.52,1.50,1.59,2.15,0.50,2.15,1.59,1,1,1,3.45,1,0
58,1.89,2.90,4.50,6.50,1.51,1.50,1.57,2.20,0.50,2.10,1.62,1,1,1,3.50,1,0
59,1.89,2.90,4.50,6.50,1.51,1.50,1.55,2.25,0.50,2.05,1.64,1,1,1,3.50,1,0
60,1.89,2.90,4.50,2.40,4.05,1.50,1.53,2.30,1.50,2.00,1.67,3.50,1.47,2.50,2.35,1,1
61,1.89,2.90,4.50,2.45,4.05,1.50,1.51,2.35,1.50,1.96,1.70,3.50,1.44,2.55,2.30,1,1
62,1.89,2.90,4.50,2.50,4.10,1.50,1.50,2.40,1.50,1.91,1.74,3.50,1.42,2.65,2.25,1,1
63,1.89,2.90,4.50,2.50,4.15,1.50,1.48,2.45,1.50,1.87,1.78,3.50,1.39,2.75,2.20,1,1
64,1.89,2.90,4.50,2.55,4.15,1.50,1.46,2.50,1.50,1.82,1.82,3.50,1.37,2.90,2.15,1,1
