min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.42,3.05,11.0,1.48,5.00,0.50,2.15,1.54,1.50,2.05,1.58,1,1,1,3.70,0,0
2,1.42,3.05,11.0,1.48,5.00,0.50,2.15,1.54,1.50,2.05,1.58,1,1,1,3.70,0,0
3,1.42,3.05,11.0,1.48,5.00,0.50,2.15,1.54,1.50,2.05,1.58,1,1,1,3.70,0,0
4,1.42,3.05,11.0,1.48,5.00,0.50,2.15,1.54,1.50,2.05,1.58,1,1,1,3.70,0,0
5,1.42,3.05,11.0,1.48,5.00,0.50,2.15,1.54,1.50,2.05,1.58,1,1,1,3.70,0,0
6,1.42,3.05,11.0,1.49,5.00,0.50,2.10,1.55,1.50,2.00,1.60,1,1,1,3.65,0,0
7,1.43,3.10,11.0,1.49,5.00,0.50,2.10,1.56,1.50,2.00,1.61,1,1,1,3.65,0,0
8,1.43,3.10,10.5,1.50,5.00,0.50,2.05,1.57,1.50,1.98,1.63,1,1,1,3.60,0,0
9,1.43,3.10,10.5,1.51,5.00,0.50,2.05,1.58,1.50,1.95,1.65,1,1,1,3.60,0,0
10,1.44,3.10,10.0,1.51,5.00,0.50,2.00,1.59,1.50,1.91,1.67,1,1,1,3.55,0,0
11,1.44,3.10,10.0,1.51,5.00,0.50,2.00,1.60,1.50,1.88,1.69,1,1,1,3.55,0,0
12,1.44,3.10,9.50,1.52,5.00,0.50,2.00,1.61,1.50,1.86,1.71,1,1,1,3.50,0,0
13,1.45,3.10,9.50,1.52,5.00,0.50,1.99,1.63,1.50,1.83,1.73,1,1,1,3.50,0,0
14,1.45,3.10,9.00,1.53,5.00,0.50,1.97,1.64,1.50,1.81,1.76,1,1,1,3.45,0,0
15,1.45,3.15,9.00,1.53,5.00,0.50,1.94,1.65,1.50,1.78,1.78,1,1,1,3.40,0,0
16,1.46,3.15,8.50,1.54,5.00,0.50,1.92,1.66,1.50,1.76,1.81,1,1,1,3.40,0,0
17,1.46,3.15,8.50,1.55,5.00,0.50,1.90,1.68,1.50,1.73,1.83,1,1,1,3.40,0,0
18,1.46,3.15,8.00,1.55,5.00,0.50,1.88,1.70,1.50,1.71,1.86,1,1,1,3.35,0,0
19,1.47,3.15,8.00,1.56,5.00,0.50,1.86,1.71,1.50,1.69,1.89,1,1,1,3.30,0,0
20,1.47,3.20,8.00,1.57,5.00,0.50,1.84,1.73,1.50,1.67,1.92,1,1,1,3.30,0,0
21,1.48,3.20,7.50,1.57,5.00,0.50,1.82,1.74,1.50,1.65,1.95,1,1,1,3.25,0,0
22,1.48,3.20,7.00,1.58,5.00,0.50,1.81,1.76,1.50,1.63,1.99,1,1,1,3.20,0,0
23,1.49,3.20,7.00,1.59,5.00,0.50,1.79,1.78,1.50,1.61,2.00,1,1,1,3.20,0,0
24,1.42,3.65,7.00,1.48,6.50,0.50,1.62,2.00,1.50,1.68,1.91,1,1,1,3.35,0,0
25,1.42,3.65,6.50,1.49,6.50,0.50,1.61,2.00,1.50,1.66,1.94,1.50,2.40,1.44,3.30,0,0
26,1.43,3.65,6.50,1.50,6.50,0.50,1.59,2.00,1.50,1.63,1.97,1.50,2.35,1.46,3.25,0,0
27,1.43,3.70,6.50,1.50,6.50,0.50,1.58,2.05,1.50,1.61,2.00,1.50,2.30,1.47,3.25,0,0
28,1.44,3.70,6.00,1.51,6.50,0.50,1.57,2.10,1.50,1.59,2.00,1.50,2.25,1.49,3.20,0,0
29,1.44,3.70,6.00,1.52,6.50,0.50,1.56,2.10,1.50,1.57,2.05,1.50,2.20,1.51,3.20,0,0
30,1.45,3.70,6.00,1.52,6.50,0.50,1.54,2.10,1.50,1.55,2.10,1.50,2.15,1.53,3.15,0,0
31,1.46,3.75,5.50,1.53,6.50,0.50,1.53,2.15,1.50,1.53,2.15,1.50,2.10,1.55,3.10,0,0
32,1.46,3.75,5.50,1.54,6.50,0.50,1.52,2.20,1.50,1.52,2.20,1.50,2.05,1.57,3.05,0,0
33,1.47,3.80,5.00,1.55,6.50,0.50,1.51,2.20,1.50,1.50,2.20,1.50,2.00,1.59,3.05,0,0
34,1.48,3.80,5.00,1.56,6.50,0.50,1.50,2.25,1.50,1.49,2.30,1.50,2.00,1.61,3.00,0,0
35,1.48,3.80,5.00,1.57,6.50,0.50,1.49,2.25,1.50,1.47,2.30,1.50,1.96,1.64,2.95,0,0
36,1.49,3.85,5.00,1.59,6.50,0.50,1.48,2.30,1.50,1.45,2.40,1.50,1.92,1.67,2.95,0,0
37,1.50,3.85,4.90,1.59,6.50,0.50,1.47,2.35,1.50,1.44,2.45,1.50,1.88,1.70,2.90,0,0
38,1.51,3.90,4.75,1.61,6.50,0.50,1.46,2.35,1.50,1.42,2.50,1.50,1.84,1.73,2.85,0,0
