min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.44,2.80,15.0,1.51,4.65,0.50,2.65,1.38,1.50,2.30,1.48,1,1,1,3.95,0,0
2,1.44,2.80,15.0,1.51,4.65,0.50,2.65,1.38,1.50,2.30,1.48,1,1,1,3.95,0,0
3,1.44,2.80,15.0,1.51,4.65,0.50,2.65,1.38,1.50,2.30,1.48,1,1,1,3.95,0,0
4,1.44,2.80,15.0,1.51,4.65,0.50,2.65,1.38,1.50,2.30,1.48,1,1,1,3.95,0,0
5,1.44,2.80,15.0,1.51,4.65,0.50,2.65,1.38,1.50,2.30,1.48,1,1,1,3.95,0,0
6,1.45,2.80,15.0,1.52,4.65,0.50,2.60,1.39,1.50,2.25,1.49,1,1,1,3.90,0,0
7,1.45,2.80,14.0,1.53,4.70,0.50,2.60,1.39,1.50,2.20,1.50,1,1,1,3.90,0,0
8,1.45,2.80,14.0,1.53,4.65,0.50,2.55,1.40,1.50,2.20,1.52,1,1,1,3.85,0,0
9,1.45,2.80,14.0,1.53,4.65,0.50,2.50,1.41,1.50,2.15,1.53,1,1,1,3.80,0,0
10,1.46,2.80,13.0,1.53,4.65,0.50,2.50,1.42,1.50,2.10,1.55,1,1,1,3.80,0,0
11,1.46,2.80,13.0,1.54,4.60,0.50,2.45,1.43,1.50,2.10,1.56,1,1,1,3.80,0,0
12,1.46,2.80,13.0,1.54,4.65,0.50,2.40,1.44,1.50,2.05,1.58,1,1,1,3.75,0,0
13,1.46,2.80,12.0,1.55,4.60,0.50,2.40,1.45,1.50,2.00,1.60,1,1,1,3.70,0,0
14,1.47,2.80,12.0,1.55,4.60,0.50,2.35,1.46,1.50,2.00,1.62,1,1,1,3.70,0,0
15,1.47,2.80,12.0,1.56,4.60,0.50,2.35,1.47,1.50,1.97,1.64,1,1,1,3.65,0,0
16,1.47,2.80,11.5,1.56,4.60,0.50,2.30,1.48,1.50,1.94,1.66,1,1,1,3.60,0,0
17,1.47,2.85,11.0,1.56,4.65,0.50,2.30,1.49,1.50,1.91,1.68,1,1,1,3.60,0,0
18,1.48,2.85,11.0,1.57,4.60,0.50,2.25,1.50,1.50,1.88,1.70,1,1,1,3.60,0,0
19,1.48,2.85,10.5,1.58,4.60,0.50,2.20,1.50,1.50,1.85,1.72,1,1,1,3.55,0,0
20,1.48,2.85,10.5,1.59,4.60,0.50,2.20,1.52,1.50,1.82,1.75,1,1,1,3.50,0,0
21,1.49,2.85,10.0,1.59,4.60,0.50,2.15,1.53,1.50,1.79,1.77,1,1,1,3.50,0,0
22,1.49,2.90,10.0,1.59,4.60,0.50,2.15,1.54,1.50,1.76,1.80,1,1,1,3.45,0,0
23,1.50,2.90,9.50,1.61,4.60,0.50,2.10,1.55,1.50,1.74,1.83,1,1,1,3.45,0,0
24,1.50,2.90,9.00,1.62,4.60,0.50,2.10,1.56,1.50,1.71,1.86,1,1,1,3.40,0,0
25,1.50,2.90,9.00,1.62,4.60,0.50,2.05,1.58,1.50,1.69,1.89,1,1,1,3.40,0,0
