min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.73,2.20,14.0,2.00,3.05,1.50,1.45,2.55,1.50,1.73,1.93,1,1,1,3.65,0,0
2,1.73,2.20,14.0,2.00,3.05,1.50,1.45,2.55,1.50,1.73,1.93,1,1,1,3.65,0,0
3,1.73,2.20,14.0,2.00,3.05,1.50,1.45,2.55,1.50,1.73,1.93,1,1,1,3.65,0,0
4,1.73,2.20,14.0,2.00,3.05,1.50,1.45,2.55,1.50,1.73,1.93,1,1,1,3.65,0,0
5,1.73,2.20,14.0,2.00,3.05,1.50,1.45,2.55,1.50,1.73,1.93,1,1,1,3.65,0,0
6,1.73,2.20,14.0,2.00,3.05,1.50,1.44,2.60,1.50,1.71,1.95,1,1,1,3.65,0,0
7,1.73,2.20,13.0,2.00,3.05,1.50,1.43,2.60,1.50,1.69,1.98,1,1,1,3.60,0,0
8,1.74,2.20,13.0,2.05,3.05,1.50,1.42,2.65,1.50,1.67,2.00,1,1,1,3.60,0,0
9,1.74,2.20,13.0,2.05,3.05,1.50,1.41,2.70,1.50,1.65,2.00,1,1,1,3.60,0,0
10,1.77,2.25,11.0,2.10,3.05,0.50,2.90,1.37,1.50,1.56,2.20,1,1,1,3.45,0,0
11,1.78,2.25,10.5,2.10,3.05,0.50,2.85,1.37,1.50,1.54,2.25,1,1,1,3.40,0,0
12,1.78,2.25,10.5,2.10,3.05,0.50,2.80,1.38,1.50,1.53,2.30,1,1,1,3.40,0,0
13,1.79,2.25,10.0,2.10,3.05,0.50,2.80,1.39,1.50,1.52,2.30,1,1,1,3.40,0,0
14,1.79,2.30,10.0,2.10,3.05,0.50,2.75,1.40,1.50,1.50,2.35,1,1,1,3.35,0,0
15,1.80,2.30,9.50,2.15,3.10,0.50,2.70,1.41,1.50,1.49,2.40,1,1,1,3.35,0,0
16,1.81,2.30,9.00,2.15,3.10,0.50,2.65,1.42,1.50,1.48,2.45,1,1,1,3.30,0,0
17,1.81,2.30,9.00,2.15,3.10,0.50,2.60,1.43,1.50,1.47,2.50,1,1,1,3.30,0,0
18,1.82,2.30,9.00,2.15,3.10,0.50,2.60,1.44,1.50,1.46,2.50,1,1,1,3.25,0,0
19,1.83,2.30,8.50,2.20,3.10,0.50,2.55,1.45,1.50,1.45,2.55,1,1,1,3.25,0,0
20,1.83,2.30,8.00,2.20,3.10,0.50,2.50,1.46,1.50,1.44,2.60,1,1,1,3.20,0,0
21,1.84,2.30,8.00,2.20,3.10,0.50,2.50,1.47,1.50,1.42,2.65,1,1,1,3.20,0,0
22,1.85,2.35,8.00,2.20,3.10,0.50,2.45,1.48,1.50,1.41,2.70,1,1,1,3.15,0,0
23,1.86,2.35,7.50,3.75,1.76,1.50,2.40,1.49,1.50,1.58,2.20,3.50,1.60,2.10,3.70,1,0
24,1.86,2.35,7.50,3.80,1.75,1.50,2.40,1.50,1.50,1.56,2.20,3.50,1.57,2.20,3.65,1,0
25,1.86,2.35,7.50,3.85,1.74,1.50,2.35,1.51,1.50,1.54,2.25,3.50,1.55,2.25,3.65,1,0
26,1.86,2.35,7.50,4.25,1.67,1.50,2.30,1.52,1.50,1.47,2.50,3.50,1.49,2.40,3.70,1,0
