min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.41,3.35,12.0,1.45,6.50,0.50,2.05,1.63,1.50,2.25,1.55,1,1,1,3.95,0,0
2,1.41,3.35,12.0,1.45,6.50,0.50,2.05,1.63,1.50,2.25,1.55,1,1,1,3.95,0,0
3,1.41,3.35,12.0,1.45,6.50,0.50,2.05,1.63,1.50,2.25,1.55,1,1,1,3.95,0,0
4,1.41,3.35,12.0,1.45,6.50,0.50,2.05,1.63,1.50,2.25,1.55,1,1,1,3.95,0,0
5,1.41,3.35,12.0,1.45,6.50,0.50,2.05,1.63,1.50,2.25,1.55,1,1,1,3.95,0,0
6,1.41,3.35,11.5,1.46,6.50,0.50,2.05,1.63,1.50,2.20,1.56,1,1,1,3.90,0,0
7,1.45,3.20,11.0,1.51,5.50,0.50,2.10,1.61,1.50,2.05,1.64,1,1,1,3.70,0,0
8,1.45,3.20,10.5,1.52,5.50,0.50,2.10,1.62,1.50,2.00,1.66,1,1,1,3.70,0,0
9,1.45,3.20,10.5,1.52,5.50,0.50,2.05,1.63,1.50,2.00,1.68,1,1,1,3.65,0,0
10,1.46,3.20,10.0,1.53,5.50,0.50,2.05,1.65,1.50,1.97,1.70,1,1,1,3.65,0,0
11,1.46,3.25,10.0,1.53,5.50,0.50,2.00,1.66,1.50,1.94,1.72,1,1,1,3.60,0,0
12,1.46,3.25,9.50,1.54,5.50,0.50,2.00,1.67,1.50,1.91,1.74,1,1,1,3.60,0,0
13,1.47,3.25,9.50,1.55,5.50,0.50,1.99,1.68,1.50,1.89,1.76,1,1,1,3.55,0,0
14,1.47,3.25,9.00,1.55,5.50,0.50,1.97,1.70,1.50,1.86,1.79,1,1,1,3.50,0,0
15,1.48,3.25,9.00,1.55,5.50,0.50,1.95,1.71,1.50,1.83,1.81,1,1,1,3.50,0,0
16,1.48,3.30,8.50,1.56,5.50,0.50,1.93,1.73,1.50,1.81,1.84,1,1,1,3.45,0,0
17,1.48,3.30,8.50,1.57,5.50,0.50,1.91,1.74,1.50,1.78,1.86,1,1,1,3.45,0,0
18,1.49,3.30,8.00,1.57,5.50,0.50,1.89,1.76,1.50,1.76,1.89,1,1,1,3.40,0,0
19,1.49,3.30,8.00,1.58,5.50,0.50,1.87,1.78,1.50,1.74,1.92,1,1,1,3.40,0,0
20,1.50,3.30,8.00,1.59,5.50,0.50,1.85,1.79,1.50,1.71,1.95,1,1,1,3.35,0,0
21,1.50,3.30,7.50,1.59,5.50,0.50,1.83,1.81,1.50,1.69,1.98,1,1,1,3.30,0,0
22,1.50,3.35,7.50,1.60,5.50,0.50,1.81,1.83,1.50,1.67,2.00,1,1,1,3.30,0,0
23,1.51,3.35,7.00,1.61,5.50,0.50,1.79,1.85,1.50,1.65,2.05,1,1,1,3.25,0,0
24,1.51,3.35,7.00,1.61,5.50,0.50,1.78,1.87,1.50,1.63,2.05,1.50,2.50,1.47,3.25,0,0
25,1.52,3.35,7.00,1.62,5.50,0.50,1.76,1.89,1.50,1.61,2.10,1.50,2.45,1.48,3.20,0,0
26,1.53,3.40,6.50,1.63,5.50,0.50,1.74,1.91,1.50,1.59,2.15,1.50,2.40,1.50,3.20,0,0
27,1.53,3.40,6.50,1.64,5.50,0.50,1.72,1.93,1.50,1.57,2.20,1.50,2.35,1.52,3.15,0,0
28,1.54,3.40,6.00,1.65,5.50,0.50,1.71,1.96,1.50,1.56,2.20,1.50,2.30,1.53,3.10,0,0
29,1.54,3.40,6.00,1.66,5.50,0.50,1.69,1.98,1.50,1.54,2.25,1.50,2.25,1.55,3.10,0,0
30,1.55,3.45,6.00,1.67,5.50,0.50,1.68,2.00,1.50,1.52,2.30,1.50,2.20,1.57,3.05,0,0
31,1.56,3.45,5.50,1.68,5.50,0.50,1.66,2.00,1.50,1.51,2.35,1.50,2.15,1.59,3.05,0,0
32,1.56,3.45,5.50,1.70,5.50,0.50,1.65,2.00,1.50,1.49,2.40,1.50,2.10,1.61,3.00,0,0
33,1.57,3.50,5.00,1.71,5.50,0.50,1.63,2.05,1.50,1.48,2.45,1.50,2.05,1.64,3.00,0,0
34,1.56,3.55,5.00,1.68,5.50,0.50,1.62,2.10,1.50,1.49,2.40,1.50,2.05,1.64,3.00,0,0
35,1.57,3.55,5.00,1.70,5.50,0.50,1.60,2.10,1.50,1.47,2.50,1.50,2.00,1.66,2.95,0,0
