min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.61,2.50,10.0,1.82,3.60,0.50,2.45,1.43,1.50,1.62,1.99,1,1,1,3.30,0,0
2,1.61,2.50,10.0,1.82,3.60,0.50,2.45,1.43,1.50,1.62,1.99,1,1,1,3.30,0,0
3,1.61,2.50,10.0,1.82,3.60,0.50,2.45,1.43,1.50,1.62,1.99,1,1,1,3.30,0,0
4,1.61,2.50,10.0,1.82,3.60,0.50,2.45,1.43,1.50,1.62,1.99,1,1,1,3.30,0,0
5,1.61,2.50,10.0,1.82,3.60,0.50,2.45,1.43,1.50,1.62,1.99,1,1,1,3.30,0,0
6,1.61,2.50,9.50,1.82,3.60,0.50,2.45,1.44,1.50,1.61,2.00,1,1,1,3.30,0,0
7,1.62,2.50,9.50,3.60,1.77,1.50,2.40,1.45,1.50,1.59,2.00,3.50,1.61,2.00,3.45,1,0
8,1.62,2.50,9.50,3.65,1.76,1.50,2.40,1.45,1.50,1.58,2.05,3.50,1.59,2.05,3.45,1,0
9,1.62,2.50,9.50,3.65,1.76,1.50,2.35,1.46,1.50,1.56,2.10,3.50,1.57,2.10,3.45,1,0
10,1.62,2.50,9.50,3.70,1.76,1.50,2.30,1.47,1.50,1.55,2.10,3.50,1.55,2.10,3.45,1,0
11,1.62,2.50,9.50,3.75,1.75,1.50,2.30,1.48,1.50,1.53,2.15,3.50,1.53,2.15,3.45,1,0
12,1.62,2.50,9.50,3.80,1.74,1.50,2.25,1.49,1.50,1.52,2.20,3.50,1.52,2.20,3.45,1,0
13,1.62,2.50,9.50,3.80,1.73,1.50,2.25,1.50,1.50,1.50,2.20,3.50,1.50,2.25,3.40,1,0
14,1.62,2.50,9.50,3.85,1.73,1.50,2.20,1.51,1.50,1.49,2.25,3.50,1.48,2.30,3.40,1,0
15,1.62,2.50,9.50,3.90,1.72,1.50,2.20,1.52,1.50,1.48,2.30,3.50,1.47,2.35,3.40,1,0
16,1.62,2.50,9.50,4.00,1.71,1.50,2.15,1.53,1.50,1.47,2.30,3.50,1.45,2.40,3.40,1,0
17,1.62,2.50,9.50,4.00,1.71,1.50,2.10,1.54,1.50,1.46,2.35,3.50,1.44,2.45,3.40,1,0
18,1.62,2.50,9.50,4.05,1.70,1.50,2.10,1.55,1.50,1.45,2.40,1,1,1,3.40,1,0
19,1.62,2.50,9.50,4.10,1.70,1.50,2.10,1.56,1.50,1.43,2.45,1,1,1,3.40,1,0
20,1.62,2.50,9.50,4.15,1.69,1.50,2.05,1.58,1.50,1.42,2.50,1,1,1,3.35,1,0
21,1.62,2.50,9.50,4.20,1.68,1.50,2.05,1.59,1.50,1.41,2.50,1,1,1,3.35,1,0
22,1.62,2.50,9.50,4.25,1.68,1.50,2.00,1.60,1.50,1.40,2.55,1,1,1,3.35,1,0
23,1.62,2.50,9.50,4.35,1.67,1.50,2.00,1.61,1.50,1.39,2.60,1,1,1,3.35,1,0
24,1.62,2.50,9.50,4.40,1.66,1.50,1.98,1.63,1.50,1.38,2.65,1,1,1,3.35,1,0
25,1.62,2.50,9.50,4.45,1.65,1.50,1.95,1.65,1.50,1.37,2.70,1,1,1,3.35,1,0
26,1.62,2.50,9.50,4.50,1.65,1.50,1.93,1.66,1.50,1.35,2.75,1,1,1,3.30,1,0
27,1.62,2.50,9.50,4.60,1.64,1.50,1.91,1.68,1.50,1.34,2.80,1,1,1,3.30,1,0
28,1.62,2.50,9.50,4.65,1.64,1.50,1.88,1.69,0.50,2.85,1.33,1,1,1,3.30,1,0
29,1.62,2.50,9.50,4.75,1.63,1.50,1.86,1.71,0.50,2.80,1.34,1,1,1,3.30,1,0
30,1.62,2.50,9.50,4.80,1.62,1.50,1.84,1.73,0.50,2.75,1.35,1,1,1,3.30,1,0
31,1.62,2.50,9.50,4.90,1.62,1.50,1.82,1.75,0.50,2.70,1.36,1,1,1,3.30,1,0
32,1.62,2.50,9.50,4.95,1.61,1.50,1.79,1.77,0.50,2.65,1.37,1,1,1,3.30,1,0
33,1.62,2.50,9.50,5.00,1.60,1.50,1.77,1.79,0.50,2.60,1.39,1,1,1,3.30,1,0
34,1.62,2.50,9.50,5.00,1.59,1.50,1.75,1.81,0.50,2.55,1.40,1,1,1,3.30,1,0
35,1.62,2.50,9.50,5.00,1.58,1.50,1.73,1.84,0.50,2.50,1.41,1,1,1,3.30,1,0
36,1.62,2.50,9.50,5.00,1.57,1.50,1.71,1.86,0.50,2.45,1.43,1,1,1,3.30,1,0
37,1.62,2.50,9.50,5.00,1.56,1.50,1.69,1.89,0.50,2.40,1.44,1,1,1,3.25,1,0
38,1.62,2.50,9.50,5.00,1.56,1.50,1.67,1.91,0.50,2.40,1.45,1,1,1,3.30,1,0
39,1.62,2.50,9.50,5.50,1.55,1.50,1.66,1.94,0.50,2.35,1.46,1,1,1,3.30,1,0
40,1.62,2.50,9.50,5.50,1.54,1.50,1.64,1.97,0.50,2.30,1.48,1,1,1,3.25,1,0
41,1.62,2.50,9.50,5.50,1.54,1.50,1.62,1.99,0.50,2.25,1.49,1,1,1,3.30,1,0
42,1.62,2.50,9.50,6.00,1.53,1.50,1.60,2.00,0.50,2.20,1.51,1,1,1,3.25,1,0
43,1.62,2.50,9.50,6.00,1.52,1.50,1.59,2.05,0.50,2.20,1.52,1,1,1,3.25,1,0
44,1.62,2.50,9.50,6.00,1.51,1.50,1.57,2.05,0.50,2.15,1.54,1,1,1,3.25,1,0
45,1.62,2.50,9.50,6.00,1.51,1.50,1.56,2.10,0.50,2.10,1.55,1,1,1,3.30,1,0
46,1.62,2.50,9.50,6.50,1.50,1.50,1.54,2.15,0.50,2.05,1.57,1,1,1,3.25,1,0
47,1.62,2.50,9.50,6.50,1.49,1.50,1.53,2.15,0.50,2.00,1.59,1,1,1,3.30,1,0
48,1.62,2.50,9.50,7.00,1.48,1.50,1.51,2.20,0.50,2.00,1.61,1,1,1,3.30,1,0
49,1.62,2.50,9.50,7.00,1.48,1.50,1.50,2.25,0.50,1.97,1.63,1,1,1,3.30,1,0
50,1.62,2.50,9.50,7.00,1.47,1.50,1.48,2.30,0.50,1.93,1.66,1,1,1,3.30,1,0
51,1.62,2.50,9.50,7.50,1.46,1.50,1.47,2.35,0.50,1.90,1.68,1,1,1,3.30,1,0
