min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
6,1,1,1,1.67,3.70,1.50,1.71,1.95,2.50,1.58,2.15,1,1,1,4.10,0,0
7,1,1,1,1.68,3.70,1.50,1.69,1.98,2.50,1.56,2.20,1,1,1,4.10,0,0
8,1,1,1,1.68,3.70,1.50,1.67,2.00,2.50,1.55,2.25,1,1,1,4.05,0,0
9,1,1,1,1.68,3.70,1.50,1.65,2.00,2.50,1.53,2.30,1,1,1,4.05,0,0
10,1,1,1,1.69,3.70,1.50,1.64,2.05,2.50,1.51,2.35,1,1,1,4.00,0,0
11,1,1,1,1.69,3.70,1.50,1.62,2.10,2.50,1.50,2.40,1,1,1,4.00,0,0
12,1.58,2.40,19.0,1.70,3.70,1.50,1.61,2.10,2.50,1.48,2.45,3.50,1.76,1.88,3.95,0,0
13,1.58,2.40,19.0,1.70,3.70,1.50,1.59,2.15,2.50,1.47,2.50,3.50,1.74,1.92,3.95,0,0
14,1.58,2.40,19.0,1.71,3.70,1.50,1.58,2.20,2.50,1.46,2.50,3.50,1.71,1.96,3.90,0,0
15,1.58,2.40,18.0,1.71,3.70,1.50,1.56,2.20,1.50,2.50,1.46,3.50,1.67,2.00,3.90,0,0
16,1.58,2.40,18.0,1.72,3.70,1.50,1.55,2.25,1.50,2.45,1.48,3.50,1.65,2.00,3.85,0,0
17,1.58,2.40,17.0,1.74,3.70,1.50,1.53,2.30,1.50,2.40,1.49,3.50,1.62,2.10,3.85,0,0
18,1.59,2.40,17.0,1.74,3.70,1.50,1.52,2.30,1.50,2.35,1.51,3.50,1.60,2.10,3.80,0,0
19,1.59,2.40,17.0,1.74,3.70,1.50,1.51,2.35,1.50,2.30,1.52,3.50,1.57,2.20,3.80,0,0
20,1.59,2.40,16.0,1.76,3.70,1.50,1.49,2.40,1.50,2.25,1.54,3.50,1.55,2.25,3.75,0,0
21,1.59,2.40,16.0,1.76,3.70,1.50,1.48,2.45,1.50,2.20,1.56,3.50,1.53,2.30,3.75,0,0
22,1.60,2.45,15.0,1.78,3.70,1.50,1.47,2.50,1.50,2.20,1.57,3.50,1.50,2.35,3.70,0,0
23,1.60,2.45,15.0,1.78,3.70,1.50,1.45,2.50,1.50,2.15,1.59,1,1,1,3.70,0,0
24,1.60,2.45,15.0,1.78,3.70,1.50,1.44,2.60,1.50,2.10,1.61,1,1,1,3.65,0,0
