min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.71,2.25,14.0,2.00,3.20,1.50,1.54,2.25,1.50,1.98,1.69,1,1,1,3.40,0,0
2,1.71,2.25,14.0,2.00,3.20,1.50,1.54,2.25,1.50,1.98,1.69,1,1,1,3.40,0,0
3,1.71,2.25,14.0,2.00,3.20,1.50,1.54,2.25,1.50,1.98,1.69,1,1,1,3.40,0,0
4,1.72,2.30,12.0,2.00,3.30,1.50,1.46,2.50,1.50,1.83,1.81,1,1,1,3.30,0,0
5,1.72,2.30,12.0,2.00,3.30,1.50,1.46,2.50,1.50,1.83,1.81,1,1,1,3.30,0,0
6,1.72,2.30,12.0,2.00,3.30,1.50,1.45,2.55,1.50,1.81,1.83,1,1,1,3.30,0,0
7,1.73,2.30,11.5,2.00,3.30,1.50,1.44,2.60,1.50,1.79,1.86,1,1,1,3.30,0,0
8,1.73,2.30,11.5,2.05,3.30,1.50,1.43,2.60,1.50,1.76,1.88,1,1,1,3.25,0,0
9,1.73,2.30,11.0,2.05,3.30,1.50,1.42,2.65,1.50,1.75,1.90,1,1,1,3.25,0,0
10,1.74,2.30,11.0,2.05,3.35,1.50,1.41,2.70,1.50,1.72,1.93,1,1,1,3.25,0,0
11,1.74,2.30,11.0,2.05,3.35,1.50,1.40,2.70,1.50,1.70,1.96,1,1,1,3.20,0,0
12,1.74,2.30,10.5,2.05,3.30,1.50,1.39,2.75,1.50,1.68,1.99,1,1,1,3.20,0,0
13,1.75,2.30,10.0,2.10,3.30,1.50,1.39,2.80,1.50,1.67,2.00,1,1,1,3.20,0,0
14,1.75,2.35,10.0,2.10,3.35,1.50,1.38,2.85,1.50,1.65,2.00,1,1,1,3.15,0,0
15,1.76,2.35,10.0,2.10,3.35,1.50,1.37,2.90,1.50,1.63,2.05,1,1,1,3.15,0,0
16,1.76,2.35,9.50,2.10,3.35,0.50,2.90,1.37,1.50,1.61,2.10,1,1,1,3.10,0,0
17,1.77,2.35,9.50,2.10,3.35,0.50,2.85,1.38,1.50,1.60,2.10,1,1,1,3.10,0,0
18,1.77,2.35,9.00,2.10,3.35,0.50,2.80,1.38,1.50,1.58,2.15,1,1,1,3.10,0,0
19,1.78,2.35,9.00,2.15,3.35,0.50,2.75,1.39,1.50,1.57,2.20,1,1,1,3.10,0,0
20,1.78,2.40,8.50,2.15,3.35,0.50,2.70,1.40,1.50,1.55,2.25,1,1,1,3.05,0,0
21,1.79,2.40,8.50,2.15,3.40,0.50,2.70,1.41,1.50,1.54,2.30,1,1,1,3.05,0,0
22,1.79,2.40,8.00,2.15,3.40,0.50,2.65,1.42,1.50,1.52,2.30,1,1,1,3.00,0,0
23,1.80,2.40,8.00,2.15,3.40,0.50,2.60,1.44,1.50,1.51,2.35,1,1,1,3.00,0,0
24,1.81,2.40,7.50,2.20,3.40,0.50,2.55,1.45,1.50,1.49,2.40,1,1,1,2.95,0,0
25,1.82,2.40,7.50,2.20,3.40,0.50,2.50,1.46,1.50,1.48,2.45,1,1,1,2.95,0,0
26,1.82,2.40,7.00,2.20,3.40,0.50,2.50,1.47,1.50,1.47,2.50,1,1,1,2.90,0,0
27,1.83,2.45,7.00,2.20,3.40,0.50,2.45,1.48,1.50,1.45,2.55,1,1,1,2.90,0,0
28,1.84,2.45,7.00,2.20,3.40,0.50,2.40,1.49,1.50,1.44,2.60,1,1,1,2.90,0,0
29,1.85,2.45,6.50,2.25,3.45,0.50,2.40,1.50,1.50,1.43,2.65,1.50,2.45,1.47,2.85,0,0
