min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.54,2.70,14.0,1.66,4.30,0.50,2.80,1.38,1.50,2.10,1.60,1,1,1,3.70,0,0
2,1.54,2.70,14.0,1.66,4.30,0.50,2.80,1.38,1.50,2.10,1.60,1,1,1,3.70,0,0
3,1.54,2.70,14.0,1.66,4.30,0.50,2.80,1.38,1.50,2.10,1.60,1,1,1,3.70,0,0
4,1.54,2.70,14.0,1.66,4.30,0.50,2.80,1.38,1.50,2.10,1.60,1,1,1,3.70,0,0
5,1.54,2.70,14.0,1.66,4.30,0.50,2.80,1.38,1.50,2.10,1.60,1,1,1,3.70,0,0
6,1.54,2.70,13.0,1.66,4.25,0.50,2.80,1.39,1.50,2.10,1.62,1,1,1,3.70,0,0
7,1.54,2.70,13.0,1.67,4.30,0.50,2.75,1.40,1.50,2.05,1.63,1,1,1,3.70,0,0
8,1.54,2.70,13.0,1.67,4.25,0.50,2.70,1.41,1.50,2.00,1.65,1,1,1,3.65,0,0
9,1.55,2.70,12.0,1.68,4.25,0.50,2.70,1.41,1.50,2.00,1.67,1,1,1,3.60,0,0
10,1.55,2.70,12.0,1.68,4.30,0.50,2.65,1.42,1.50,1.98,1.69,1,1,1,3.60,0,0
11,1.55,2.70,12.0,1.69,4.25,0.50,2.60,1.43,1.50,1.96,1.71,1,1,1,3.60,0,0
12,1.56,2.70,12.0,1.69,4.25,0.50,2.60,1.44,1.50,1.93,1.73,1,1,1,3.55,0,0
13,1.56,2.70,11.5,1.69,4.25,0.50,2.55,1.45,1.50,1.89,1.75,1,1,1,3.50,0,0
14,1.56,2.70,11.0,1.70,4.25,0.50,2.50,1.46,1.50,1.87,1.78,1,1,1,3.50,0,0
15,1.56,2.75,11.0,1.70,4.30,0.50,2.50,1.47,1.50,1.84,1.80,1,1,1,3.50,0,0
16,1.57,2.75,10.5,1.71,4.25,0.50,2.45,1.48,1.50,1.82,1.82,1,1,1,3.45,0,0
17,1.57,2.75,10.0,1.72,4.25,0.50,2.40,1.49,1.50,1.79,1.85,1,1,1,3.40,0,0
18,1.58,2.75,10.0,1.74,4.25,0.50,2.40,1.50,1.50,1.77,1.88,1,1,1,3.40,0,0
19,1.58,2.75,10.0,1.74,4.25,0.50,2.35,1.51,1.50,1.75,1.90,1,1,1,3.40,0,0
20,1.58,2.75,9.50,1.74,4.30,0.50,2.30,1.52,1.50,1.72,1.93,1,1,1,3.35,0,0
21,1.59,2.80,9.00,1.75,4.25,0.50,2.30,1.53,1.50,1.70,1.97,1,1,1,3.30,0,0
22,1.59,2.80,9.00,1.76,4.30,0.50,2.25,1.54,1.50,1.68,2.00,1,1,1,3.30,0,0
23,1.60,2.80,9.00,1.77,4.25,0.50,2.25,1.55,1.50,1.65,2.00,1,1,1,3.30,0,0
24,1.70,2.45,10.0,1.98,3.50,0.50,2.70,1.41,1.50,1.63,2.05,1,1,1,3.30,0,0
