min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.70,2.30,9.50,1.98,3.15,0.50,2.55,1.41,0.50,3.50,1.21,1,1,1,3.35,0,0
2,1.70,2.30,9.50,1.98,3.15,0.50,2.55,1.41,0.50,3.50,1.21,1,1,1,3.35,0,0
3,1.70,2.30,9.50,1.98,3.15,0.50,2.55,1.41,0.50,3.50,1.21,1,1,1,3.35,0,0
4,1.70,2.30,9.50,1.98,3.15,0.50,2.55,1.41,0.50,3.50,1.21,1,1,1,3.35,0,0
5,1.70,2.30,9.50,1.98,3.15,0.50,2.55,1.41,0.50,3.50,1.21,1,1,1,3.35,0,0
6,1.70,2.30,9.50,1.99,3.20,0.50,2.50,1.41,1.50,1.49,2.25,1,1,1,3.30,0,0
7,1.69,2.40,9.00,1.95,3.25,0.50,2.40,1.45,1.50,1.48,2.30,1,1,1,3.30,0,0
8,1.69,2.40,8.50,1.97,3.25,0.50,2.40,1.45,1.50,1.47,2.30,1,1,1,3.25,0,0
9,1.75,2.25,9.50,2.05,3.00,0.50,2.60,1.39,1.50,1.46,2.35,1,1,1,3.30,0,0
10,1.75,2.25,9.00,2.05,3.05,0.50,2.55,1.40,1.50,1.45,2.40,1,1,1,3.30,0,0
11,1.76,2.25,9.00,2.10,3.05,0.50,2.50,1.41,1.50,1.44,2.40,1,1,1,3.25,0,0
12,1.76,2.25,8.50,2.10,3.05,0.50,2.50,1.42,1.50,1.43,2.45,1,1,1,3.25,0,0
13,1.77,2.30,8.50,2.10,3.05,0.50,2.45,1.43,1.50,1.42,2.50,1,1,1,3.20,0,0
14,1.77,2.30,8.00,2.10,3.05,0.50,2.45,1.44,1.50,1.41,2.50,1,1,1,3.20,0,0
15,1.78,2.30,8.00,2.10,3.05,0.50,2.40,1.45,1.50,1.40,2.55,1,1,1,3.15,0,0
16,1.79,2.30,8.00,2.10,3.05,0.50,2.40,1.45,1.50,1.39,2.60,1,1,1,3.15,0,0
17,1.79,2.30,7.50,2.10,3.10,0.50,2.35,1.46,1.50,1.38,2.65,1,1,1,3.10,0,0
18,1.80,2.30,7.50,2.10,3.10,0.50,2.30,1.47,1.50,1.37,2.70,1.50,2.45,1.43,3.10,0,0
19,1.81,2.30,7.00,2.15,3.10,0.50,2.30,1.48,1.50,1.36,2.70,1.50,2.40,1.44,3.10,0,0
20,1.81,2.35,7.00,2.15,3.10,0.50,2.25,1.49,1.50,1.35,2.75,1.50,2.40,1.45,3.05,0,0
