min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.53,3.00,9.00,1.64,4.85,0.50,2.15,1.59,1.50,1.78,1.86,1,1,1,3.40,0,0
2,1.53,3.00,9.00,1.64,4.85,0.50,2.15,1.59,1.50,1.78,1.86,1,1,1,3.40,0,0
3,1.55,3.00,8.00,1.68,4.85,0.50,2.00,1.65,1.50,1.68,2.00,1,1,1,3.30,0,0
4,1.55,3.00,8.00,1.68,4.85,0.50,2.00,1.65,1.50,1.68,2.00,1,1,1,3.30,0,0
5,1.55,3.00,8.00,1.68,4.85,0.50,2.00,1.65,1.50,1.68,2.00,1,1,1,3.30,0,0
6,1.54,3.00,8.50,1.67,4.70,0.50,2.00,1.66,1.50,1.66,2.00,1,1,1,3.40,0,0
7,1.55,3.00,8.00,1.68,4.75,0.50,2.00,1.67,1.50,1.64,2.05,1,1,1,3.35,0,0
8,1.55,3.00,8.00,1.68,4.70,0.50,1.99,1.69,1.50,1.63,2.05,1,1,1,3.35,0,0
9,1.56,3.05,8.00,1.69,4.70,0.50,1.97,1.70,1.50,1.61,2.10,1,1,1,3.30,0,0
10,1.56,3.05,7.50,1.69,4.70,0.50,1.94,1.72,1.50,1.59,2.15,1,1,1,3.30,0,0
11,1.57,3.05,7.50,1.70,4.70,0.50,1.93,1.73,1.50,1.58,2.15,1,1,1,3.25,0,0
12,1.57,3.05,7.00,1.71,4.70,0.50,1.91,1.74,1.50,1.57,2.20,1,1,1,3.25,0,0
13,1.58,3.10,7.00,1.72,4.70,0.50,1.89,1.76,1.50,1.55,2.25,1.50,2.45,1.47,3.20,0,0
14,1.58,3.10,7.00,1.73,4.70,0.50,1.87,1.77,1.50,1.54,2.25,1.50,2.40,1.48,3.20,0,0
15,1.59,3.10,6.50,1.73,4.70,0.50,1.85,1.79,1.50,1.53,2.30,1.50,2.40,1.50,3.15,0,0
16,1.59,3.10,6.50,1.74,4.70,0.50,1.84,1.81,1.50,1.51,2.35,1.50,2.35,1.51,3.15,0,0
17,1.58,3.40,5.50,1.72,5.00,0.50,1.67,2.00,1.50,1.47,2.50,1.50,2.10,1.62,3.05,0,0
18,1.59,3.40,5.50,1.72,5.00,0.50,1.65,2.00,1.50,1.46,2.50,1.50,2.05,1.63,3.00,0,0
19,1.59,3.40,5.00,1.73,5.00,0.50,1.64,2.05,1.50,1.45,2.55,1.50,2.00,1.65,3.00,0,0
20,1.60,3.40,5.00,1.74,5.00,0.50,1.63,2.05,1.50,1.44,2.60,1.50,2.00,1.67,3.00,0,0
21,1.61,3.40,5.00,1.75,5.00,0.50,1.62,2.10,1.50,1.42,2.65,1.50,1.97,1.70,2.95,0,0
22,1.61,3.45,5.00,1.77,5.00,0.50,1.60,2.10,1.50,1.41,2.70,1.50,1.94,1.72,2.90,0,0
23,1.62,3.45,5.00,1.77,5.00,0.50,1.59,2.15,1.50,1.40,2.75,1.50,1.90,1.75,2.90,0,0
24,1.63,3.50,4.90,1.78,5.00,0.50,1.58,2.15,1.50,1.39,2.80,1.50,1.87,1.77,2.85,0,0
25,1.64,3.50,4.80,1.79,5.00,0.50,1.57,2.20,1.50,1.38,2.85,1.50,1.84,1.80,2.85,0,0
26,1.64,3.50,4.70,1.80,5.00,0.50,1.56,2.20,1.50,1.37,2.85,1.50,1.82,1.82,2.80,0,0
27,1.65,3.50,4.60,1.82,5.00,0.50,1.55,2.25,0.50,2.90,1.37,1.50,1.79,1.85,2.80,0,0
28,1.63,3.45,4.95,1.78,5.00,0.50,1.59,2.15,1.50,1.40,2.75,1.50,1.90,1.75,2.90,0,0
29,1.63,3.45,4.85,1.79,5.00,0.50,1.58,2.20,1.50,1.39,2.80,1.50,1.86,1.78,2.85,0,0
30,1.64,3.50,4.70,1.81,5.00,0.50,1.57,2.20,1.50,1.37,2.85,1.50,1.83,1.81,2.85,0,0
31,1.65,3.50,4.60,1.82,5.00,0.50,1.56,2.20,0.50,2.90,1.37,1.50,1.80,1.84,2.80,0,0
32,1.66,3.50,4.50,1.83,5.00,0.50,1.54,2.25,0.50,2.85,1.37,1.50,1.77,1.87,2.80,0,0
33,1.67,3.55,4.40,1.84,5.00,0.50,1.53,2.30,0.50,2.80,1.38,1.50,1.74,1.91,2.75,0,0
