min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,2.35,1.80,8.50,3.25,2.15,1.50,1.49,2.40,0.50,2.60,1.44,1,1,1,3.15,0,0
2,2.35,1.80,8.50,3.25,2.15,1.50,1.49,2.40,0.50,2.60,1.44,1,1,1,3.15,0,0
3,2.35,1.80,8.50,3.25,2.15,1.50,1.49,2.40,0.50,2.60,1.44,1,1,1,3.15,0,0
4,2.35,1.80,8.50,3.25,2.15,1.50,1.49,2.40,0.50,2.60,1.44,1,1,1,3.15,0,0
5,2.35,1.80,8.50,3.25,2.15,1.50,1.49,2.40,0.50,2.60,1.44,1,1,1,3.15,0,0
6,2.35,1.80,8.50,3.25,2.15,1.50,1.48,2.45,0.50,2.55,1.45,1,1,1,3.15,0,0
7,2.35,1.81,8.00,3.25,2.15,1.50,1.47,2.50,0.50,2.55,1.45,1,1,1,3.10,0,0
8,2.40,1.81,8.00,3.25,2.15,1.50,1.46,2.50,0.50,2.50,1.46,1,1,1,3.10,0,0
9,2.40,1.82,8.00,3.25,2.20,1.50,1.45,2.55,0.50,2.50,1.47,1,1,1,3.10,0,0
10,2.40,1.83,7.50,3.25,2.20,1.50,1.44,2.60,0.50,2.45,1.48,1,1,1,3.05,0,0
11,2.40,1.83,7.50,3.25,2.20,1.50,1.43,2.65,0.50,2.40,1.49,1,1,1,3.05,0,0
12,2.40,1.84,7.00,3.30,2.20,1.50,1.42,2.65,0.50,2.40,1.50,1,1,1,3.00,0,0
13,2.40,1.85,7.00,3.30,2.20,1.50,1.41,2.70,0.50,2.35,1.51,1.50,2.50,1.47,3.00,0,0
14,2.45,1.80,7.50,3.35,2.15,1.50,1.44,2.60,0.50,2.40,1.50,1,1,1,3.05,0,0
15,2.45,1.81,7.00,3.35,2.15,1.50,1.43,2.60,0.50,2.35,1.51,1,1,1,3.05,0,0
16,2.45,1.82,7.00,3.35,2.15,1.50,1.42,2.65,0.50,2.30,1.52,1.50,2.50,1.47,3.00,0,0
17,2.50,1.82,7.00,3.40,2.15,1.50,1.41,2.70,0.50,2.30,1.53,1.50,2.45,1.48,3.00,0,0
18,2.50,1.83,6.50,3.40,2.15,1.50,1.40,2.75,0.50,2.25,1.54,1.50,2.40,1.50,3.00,0,0
19,2.50,1.84,6.50,3.40,2.20,1.50,1.39,2.80,0.50,2.25,1.55,1.50,2.35,1.51,2.95,0,0
20,2.50,1.85,6.00,3.40,2.20,1.50,1.38,2.80,0.50,2.20,1.56,1.50,2.30,1.53,2.95,0,0
21,2.50,1.85,6.00,3.40,2.20,1.50,1.37,2.85,0.50,2.20,1.58,1.50,2.25,1.54,2.90,0,0
22,2.50,1.86,6.00,3.40,2.20,0.50,2.90,1.37,0.50,2.15,1.59,1.50,2.20,1.56,2.90,0,0
23,2.50,1.86,6.00,1.71,4.60,1.50,1.37,2.85,1.50,1.87,1.77,1,1,1,3.30,0,1
24,2.50,1.86,6.00,1.71,4.65,1.50,1.37,2.90,1.50,1.85,1.79,1,1,1,3.30,0,1
25,2.50,1.86,6.00,1.70,4.70,0.50,2.85,1.37,1.50,1.83,1.81,1,1,1,3.30,0,1
26,2.50,1.86,6.00,1.70,4.80,0.50,2.85,1.38,1.50,1.81,1.83,1,1,1,3.30,0,1
27,2.50,1.86,6.00,1.69,4.90,0.50,2.80,1.39,1.50,1.79,1.85,1,1,1,3.30,0,1
28,2.50,1.86,6.00,1.68,5.00,0.50,2.75,1.40,1.50,1.78,1.87,1,1,1,3.30,0,1
29,2.50,1.86,6.00,1.67,5.00,0.50,2.70,1.41,1.50,1.76,1.89,1,1,1,3.30,0,1
30,2.50,1.86,6.00,1.66,5.00,0.50,2.65,1.42,1.50,1.74,1.92,1,1,1,3.25,0,1
31,2.50,1.86,6.00,1.65,5.00,0.50,2.60,1.44,1.50,1.72,1.94,1,1,1,3.25,0,1
32,2.50,1.86,6.00,1.64,5.00,0.50,2.55,1.45,1.50,1.70,1.96,1,1,1,3.25,0,1
33,2.50,1.86,6.00,1.63,5.00,0.50,2.50,1.46,1.50,1.69,1.99,1,1,1,3.25,0,1
34,2.50,1.86,6.00,1.63,5.00,0.50,2.50,1.47,1.50,1.67,2.00,1,1,1,3.25,0,1
