min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.87,2.15,8.00,2.35,2.95,0.50,2.80,1.34,0.50,3.25,1.25,1,1,1,2.90,0,0
2,1.87,2.15,8.00,2.35,2.95,0.50,2.80,1.34,0.50,3.25,1.25,1,1,1,2.90,0,0
3,1.87,2.15,8.00,2.35,2.95,0.50,2.80,1.34,0.50,3.25,1.25,1,1,1,2.90,0,0
4,1.87,2.15,8.00,2.35,2.95,0.50,2.80,1.34,0.50,3.25,1.25,1,1,1,2.90,0,0
5,1.87,2.15,8.00,2.35,2.95,0.50,2.80,1.34,0.50,3.25,1.25,1,1,1,2.90,0,0
6,1.88,2.15,8.00,2.35,3.00,0.50,2.80,1.35,1.50,1.43,2.45,1,1,1,2.90,0,0
7,1.88,2.20,7.50,2.40,3.00,0.50,2.75,1.35,1.50,1.42,2.50,1,1,1,2.85,0,0
8,1.89,2.20,7.50,2.40,3.00,0.50,2.70,1.36,1.50,1.41,2.50,1,1,1,2.85,0,0
9,1.89,2.20,7.00,2.40,3.00,0.50,2.70,1.37,1.50,1.40,2.55,1,1,1,2.85,0,0
10,1.90,2.20,7.00,2.40,3.00,0.50,2.65,1.38,1.50,1.39,2.60,1,1,1,2.80,0,0
11,1.91,2.20,7.00,2.40,3.00,0.50,2.60,1.39,1.50,1.38,2.65,1,1,1,2.80,0,0
12,1.91,2.20,7.00,2.40,3.00,0.50,2.60,1.40,1.50,1.37,2.70,1,1,1,2.80,0,0
13,1.92,2.20,6.50,2.40,3.00,0.50,2.55,1.41,1.50,1.36,2.70,1,1,1,2.75,0,0
14,1.93,2.20,6.50,2.40,3.00,0.50,2.50,1.42,1.50,1.35,2.75,1,1,1,2.75,0,0
15,1.94,2.25,6.00,2.45,3.05,0.50,2.50,1.42,1.50,1.34,2.80,1.50,2.35,1.46,2.75,0,0
16,1.94,2.25,6.00,2.45,3.05,0.50,2.45,1.43,0.50,2.85,1.33,1.50,2.30,1.47,2.70,0,0
17,1.95,2.25,6.00,2.45,3.05,0.50,2.40,1.44,0.50,2.80,1.34,1.50,2.30,1.48,2.70,0,0
18,1.96,2.25,6.00,2.45,3.05,0.50,2.40,1.45,0.50,2.75,1.35,1.50,2.25,1.50,2.70,0,0
19,1.97,2.30,5.50,2.45,3.10,0.50,2.35,1.46,0.50,2.70,1.36,1.50,2.20,1.52,2.65,0,0
20,1.98,2.30,5.50,2.50,3.10,0.50,2.30,1.47,0.50,2.70,1.37,1.50,2.15,1.53,2.65,0,0
21,1.99,2.30,5.50,2.50,3.10,0.50,2.30,1.48,0.50,2.65,1.38,1.50,2.10,1.55,2.60,0,0
