min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.40,3.30,13.0,1.43,6.50,0.50,2.20,1.57,2.50,1.42,2.65,1,1,1,4.10,0,0
2,1.40,3.30,13.0,1.43,6.50,0.50,2.20,1.57,2.50,1.42,2.65,1,1,1,4.10,0,0
3,1.40,3.30,13.0,1.43,6.50,0.50,2.20,1.57,2.50,1.42,2.65,1,1,1,4.10,0,0
4,1.40,3.30,13.0,1.43,6.50,0.50,2.20,1.57,2.50,1.42,2.65,1,1,1,4.10,0,0
5,1.40,3.30,13.0,1.43,6.50,0.50,2.20,1.57,2.50,1.42,2.65,1,1,1,4.10,0,0
6,1.40,3.30,13.0,1.44,6.00,0.50,2.15,1.58,1.50,2.40,1.50,1,1,1,4.05,0,0
7,1.40,3.30,12.0,1.44,6.00,0.50,2.15,1.59,1.50,2.35,1.51,1,1,1,4.00,0,0
8,1.41,3.30,12.0,1.45,6.50,0.50,2.10,1.60,1.50,2.30,1.53,1,1,1,4.00,0,0
9,1.41,3.30,12.0,1.45,6.00,0.50,2.10,1.61,1.50,2.25,1.54,1,1,1,3.95,0,0
10,1.39,3.30,14.0,1.43,5.50,0.50,2.10,1.62,1.50,2.20,1.56,1,1,1,4.50,0,0
11,1.39,3.25,15.0,1.42,5.50,0.50,2.10,1.60,1.50,2.30,1.53,1,1,1,4.55,0,0
12,1.39,3.25,14.0,1.43,5.50,0.50,2.10,1.61,1.50,2.25,1.55,1,1,1,4.50,0,0
13,1.40,3.30,14.0,1.43,5.50,0.50,2.05,1.63,1.50,2.20,1.56,1,1,1,4.45,0,0
14,1.40,3.30,13.0,1.44,5.50,0.50,2.05,1.64,1.50,2.15,1.58,1,1,1,4.40,0,0
15,1.40,3.30,13.0,1.44,5.50,0.50,2.00,1.65,1.50,2.10,1.60,1,1,1,4.35,0,0
16,1.41,3.30,13.0,1.45,5.50,0.50,2.00,1.66,1.50,2.10,1.62,1,1,1,4.30,0,0
17,1.41,3.30,12.0,1.45,5.50,0.50,2.00,1.68,1.50,2.05,1.63,1,1,1,4.25,0,0
18,1.41,3.30,12.0,1.46,5.50,0.50,1.98,1.69,1.50,2.00,1.65,1,1,1,4.20,0,0
19,1.41,3.20,14.0,1.45,5.00,0.50,2.10,1.60,1.50,2.20,1.57,1,1,1,4.40,0,0
20,1.41,3.20,14.0,1.46,5.00,0.50,2.10,1.61,1.50,2.15,1.59,1,1,1,4.35,0,0
21,1.42,3.20,13.0,1.46,5.00,0.50,2.10,1.62,1.50,2.10,1.61,1,1,1,4.30,0,0
22,1.42,3.20,13.0,1.47,5.00,0.50,2.05,1.63,1.50,2.05,1.63,1,1,1,4.25,0,0
23,1.42,3.20,12.0,1.47,5.00,0.50,2.00,1.65,1.50,2.00,1.65,1,1,1,4.20,0,0
24,1.43,3.25,12.0,1.48,5.00,0.50,2.00,1.66,1.50,2.00,1.68,1,1,1,4.15,0,0
25,1.43,3.25,12.0,1.48,5.00,0.50,2.00,1.68,1.50,1.97,1.70,1,1,1,4.10,0,0
26,1.43,3.25,11.5,1.49,5.00,0.50,1.97,1.70,1.50,1.93,1.73,1,1,1,4.05,0,0
27,1.44,3.25,11.0,1.49,5.00,0.50,1.95,1.71,1.50,1.89,1.75,1,1,1,4.00,0,0
28,1.44,3.30,10.5,1.50,5.00,0.50,1.93,1.73,1.50,1.86,1.78,1,1,1,3.95,0,0
29,1.45,3.30,10.0,1.50,5.00,0.50,1.90,1.75,1.50,1.83,1.81,1,1,1,3.90,0,0
30,1.45,3.30,10.0,1.51,5.00,0.50,1.88,1.77,1.50,1.80,1.84,1,1,1,3.90,0,0
31,1.46,3.30,9.50,1.52,5.00,0.50,1.86,1.79,1.50,1.77,1.87,1,1,1,3.85,0,0
32,1.46,3.30,9.00,1.53,5.00,0.50,1.83,1.81,1.50,1.74,1.91,1,1,1,3.80,0,0
33,1.47,3.30,9.00,1.54,5.00,0.50,1.81,1.83,1.50,1.71,1.95,1,1,1,3.75,0,0
34,1.47,3.35,8.50,1.54,5.00,0.50,1.79,1.85,1.50,1.69,1.99,1,1,1,3.70,0,0
35,1.48,3.35,8.00,1.55,5.00,0.50,1.77,1.88,1.50,1.66,2.00,1,1,1,3.65,0,0
36,1.48,3.35,8.00,1.56,5.00,0.50,1.75,1.90,1.50,1.64,2.05,1,1,1,3.60,0,0
37,1.49,3.40,7.50,1.56,5.00,0.50,1.73,1.93,1.50,1.61,2.10,1.50,2.50,1.46,3.55,0,0
38,1.50,3.40,7.00,1.58,5.00,0.50,1.71,1.95,1.50,1.59,2.15,1.50,2.45,1.48,3.50,0,0
39,1.50,3.60,6.00,1.59,5.50,0.50,1.59,2.15,1.50,1.52,2.30,1.50,2.20,1.58,3.35,0,0
40,1.51,3.60,6.00,1.60,5.50,0.50,1.58,2.20,1.50,1.50,2.40,1.50,2.10,1.60,3.30,0,0
41,1.52,3.65,5.50,1.61,5.50,0.50,1.56,2.20,1.50,1.49,2.40,1.50,2.10,1.62,3.30,0,0
42,1.53,3.65,5.50,1.62,5.50,0.50,1.55,2.25,1.50,1.47,2.50,1.50,2.00,1.65,3.25,0,0
