min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.62,2.30,13.0,1.85,3.35,1.50,1.42,2.50,1.50,1.90,1.68,1,1,1,3.45,0,0
2,1.62,2.30,13.0,1.85,3.35,1.50,1.42,2.50,1.50,1.90,1.68,1,1,1,3.45,0,0
3,1.62,2.30,13.0,1.85,3.35,1.50,1.42,2.50,1.50,1.90,1.68,1,1,1,3.45,0,0
4,1.62,2.30,13.0,1.85,3.35,1.50,1.42,2.50,1.50,1.90,1.68,1,1,1,3.45,0,0
5,1.62,2.30,13.0,1.85,3.35,1.50,1.42,2.50,1.50,1.90,1.68,1,1,1,3.45,0,0
6,1.63,2.30,13.0,1.86,3.35,1.50,1.41,2.50,1.50,1.87,1.70,1,1,1,3.45,0,0
7,1.63,2.30,13.0,1.87,3.35,1.50,1.40,2.55,1.50,1.85,1.72,1,1,1,3.40,0,0
8,1.54,2.60,12.0,1.69,3.90,0.50,2.55,1.40,1.50,1.82,1.75,1,1,1,3.55,0,0
9,1.54,2.60,11.5,1.69,3.90,0.50,2.50,1.41,1.50,1.79,1.77,1,1,1,3.50,0,0
10,1.55,2.60,11.0,1.69,3.90,0.50,2.50,1.42,1.50,1.77,1.79,1,1,1,3.50,0,0
11,1.55,2.60,11.0,1.70,3.90,0.50,2.45,1.43,1.50,1.75,1.82,1,1,1,3.45,0,0
12,1.55,2.60,10.5,1.71,3.90,0.50,2.40,1.44,1.50,1.73,1.84,1,1,1,3.45,0,0
13,1.56,2.60,10.5,1.72,3.90,0.50,2.40,1.45,1.50,1.70,1.87,1,1,1,3.40,0,0
14,1.56,2.60,10.0,1.72,3.90,0.50,2.35,1.46,1.50,1.69,1.89,1,1,1,3.40,0,0
15,1.56,2.60,10.0,1.73,3.90,0.50,2.35,1.47,1.50,1.66,1.92,1,1,1,3.35,0,0
16,1.57,2.65,9.50,1.74,3.90,0.50,2.30,1.48,1.50,1.64,1.96,1,1,1,3.35,0,0
17,1.57,2.65,9.00,1.75,3.90,0.50,2.30,1.49,1.50,1.63,1.99,1,1,1,3.30,0,0
18,1.58,2.65,9.00,1.75,3.90,0.50,2.25,1.50,1.50,1.61,2.00,1,1,1,3.30,0,0
19,1.58,2.65,9.00,1.76,3.95,0.50,2.20,1.50,1.50,1.59,2.00,1,1,1,3.25,0,0
20,1.59,2.65,8.50,1.77,3.90,0.50,2.20,1.52,1.50,1.57,2.05,1,1,1,3.25,0,0
21,1.59,2.70,8.00,1.77,3.90,0.50,2.15,1.53,1.50,1.56,2.10,1,1,1,3.20,0,0
22,1.60,2.70,8.00,1.79,3.90,0.50,2.15,1.54,1.50,1.54,2.10,1,1,1,3.20,0,0
23,1.60,2.70,8.00,1.80,3.90,0.50,2.10,1.55,1.50,1.53,2.15,1,1,1,3.15,0,0
24,1.61,2.70,7.50,1.80,3.95,0.50,2.10,1.56,1.50,1.51,2.20,1,1,1,3.15,0,0
