min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.34,3.40,13.0,1.36,7.00,0.50,2.00,1.61,1.50,2.40,1.45,1,1,1,4.15,0,0
2,1.34,3.40,13.0,1.36,7.00,0.50,2.00,1.61,1.50,2.40,1.45,1,1,1,4.15,0,0
3,1.34,3.40,13.0,1.36,7.00,0.50,2.00,1.61,1.50,2.40,1.45,1,1,1,4.15,0,0
4,1.34,3.40,13.0,1.36,7.00,0.50,2.00,1.61,1.50,2.40,1.45,1,1,1,4.15,0,0
5,1.34,3.40,13.0,1.36,7.00,0.50,2.00,1.61,1.50,2.40,1.45,1,1,1,4.15,0,0
6,1.34,3.40,12.0,1.37,7.00,0.50,1.99,1.63,1.50,2.35,1.46,1,1,1,4.10,0,0
7,1.34,3.40,12.0,1.37,7.00,0.50,1.97,1.64,1.50,2.30,1.47,1,1,1,4.10,0,0
8,1.35,3.45,12.0,1.37,7.00,0.50,1.94,1.65,1.50,2.25,1.49,1,1,1,4.05,0,0
9,1.35,3.45,11.5,1.39,7.00,0.50,1.92,1.66,1.50,2.20,1.50,1,1,1,4.00,0,0
10,1.35,3.45,11.0,1.39,6.50,0.50,1.90,1.68,1.50,2.20,1.52,1,1,1,3.95,0,0
11,1.36,3.45,11.0,1.39,6.50,0.50,1.88,1.69,1.50,2.15,1.53,1,1,1,3.95,0,0
12,1.36,3.45,11.0,1.40,6.50,0.50,1.87,1.71,1.50,2.10,1.55,1,1,1,3.90,0,0
13,1.36,3.50,10.5,1.40,6.50,0.50,1.85,1.72,1.50,2.10,1.56,1,1,1,3.85,0,0
14,1.36,3.50,10.0,1.40,6.50,0.50,1.83,1.73,1.50,2.05,1.58,1,1,1,3.85,0,0
15,1.37,3.50,10.0,1.41,6.50,0.50,1.81,1.75,1.50,2.00,1.60,1,1,1,3.80,0,0
16,1.37,3.50,10.0,1.41,6.50,0.50,1.80,1.77,1.50,2.00,1.62,1,1,1,3.75,0,0
17,1.37,3.50,9.50,2.40,2.60,1.50,1.78,1.78,1.50,1.97,1.64,3.50,1.63,1.98,3.20,1,0
18,1.37,3.50,9.50,2.65,2.25,1.50,2.20,1.51,1.50,2.00,1.62,3.50,1.82,1.74,3.35,1,0
19,1.37,3.50,9.50,2.70,2.25,1.50,2.20,1.52,1.50,1.96,1.64,3.50,1.79,1.77,3.35,1,0
20,1.37,3.50,9.50,2.70,2.25,1.50,2.15,1.53,1.50,1.93,1.66,3.50,1.76,1.81,3.30,1,0
21,1,1,1,2.75,2.20,1.50,2.10,1.54,1.50,1.90,1.68,3.50,1.73,1.84,3.30,1,0
22,1.37,3.50,9.50,2.80,2.20,1.50,2.10,1.56,1.50,1.86,1.71,3.50,1.70,1.88,3.30,1,0
23,1.37,3.50,9.50,2.80,2.20,1.50,2.05,1.57,1.50,1.83,1.73,3.50,1.67,1.92,3.30,1,0
24,1.37,3.50,9.50,2.70,2.30,1.50,2.05,1.58,1.50,1.91,1.68,3.50,1.70,1.87,3.30,1,0
25,1.37,3.50,9.50,2.70,2.25,1.50,2.00,1.60,1.50,1.87,1.70,3.50,1.67,1.91,3.30,1,0
26,1.37,3.50,9.50,2.75,2.25,1.50,2.00,1.61,1.50,1.84,1.73,3.50,1.65,1.95,3.25,1,0
27,1.37,3.50,9.50,2.80,2.25,1.50,1.99,1.62,1.50,1.81,1.76,3.50,1.62,2.00,3.25,1,0
28,1.37,3.50,9.50,2.80,2.20,1.50,1.96,1.64,1.50,1.77,1.79,3.50,1.59,2.00,3.20,1,0
29,1.37,3.50,9.50,2.85,2.20,1.50,1.94,1.66,1.50,1.75,1.82,3.50,1.57,2.10,3.20,1,0
30,1.37,3.50,9.50,2.90,2.20,1.50,1.91,1.67,1.50,1.72,1.85,3.50,1.54,2.10,3.20,1,0
31,1,1,1,2.95,2.15,1.50,1.89,1.69,1.50,1.69,1.88,3.50,1.52,2.20,3.20,1,0
32,1.37,3.50,9.50,3.00,2.15,1.50,1.86,1.71,1.50,1.67,1.92,3.50,1.50,2.25,3.20,1,0
33,1,1,1,3.00,2.10,1.50,1.84,1.73,1.50,1.64,1.96,3.50,1.48,2.30,3.15,1,0
34,1.37,3.50,9.50,3.05,2.10,1.50,1.82,1.75,1.50,1.62,2.00,3.50,1.46,2.35,3.15,1,0
35,1.37,3.50,9.50,3.10,2.10,1.50,1.80,1.77,1.50,1.60,2.00,3.50,1.44,2.40,3.10,1,0
36,1.37,3.50,9.50,3.15,2.05,1.50,1.77,1.79,1.50,1.57,2.05,1,1,1,3.10,1,0
37,1,1,1,3.20,2.05,1.50,1.75,1.82,1.50,1.55,2.10,1,1,1,3.10,1,0
38,1.37,3.50,9.50,3.25,2.05,1.50,1.73,1.84,1.50,1.53,2.15,1,1,1,3.10,1,0
39,1.37,3.50,9.50,3.30,2.00,1.50,1.71,1.87,1.50,1.51,2.20,1,1,1,3.10,1,0
40,1.37,3.50,9.50,3.35,2.00,1.50,1.69,1.89,1.50,1.49,2.25,1,1,1,3.10,1,0
41,1.37,3.50,9.50,3.30,1.97,1.50,1.67,1.92,1.50,1.48,2.30,1,1,1,3.20,1,0
42,1.37,3.50,9.50,3.40,1.95,1.50,1.65,1.95,1.50,1.46,2.35,1,1,1,3.20,1,0
43,1.37,3.50,9.50,3.45,1.93,1.50,1.63,1.97,1.50,1.44,2.40,1,1,1,3.20,1,0
44,1,1,1,3.50,1.92,1.50,1.62,2.00,1.50,1.42,2.50,1,1,1,3.20,1,0
45,1.37,3.50,9.50,2.80,2.25,1.50,1.41,2.50,1.50,1.51,2.20,1,1,1,3.20,1,0
46,1.37,3.50,9.50,2.85,2.20,1.50,1.40,2.55,1.50,1.49,2.25,1,1,1,3.20,1,0
47,1.37,3.50,9.50,2.95,2.20,1.50,1.39,2.60,1.50,1.47,2.35,1,1,1,3.20,1,0
